지역,인구,20-30인구,전체인구,구별 인구
수원시 장안구,271012,361463,1190368,82294.5598
수원시 권선구,367004,,,111443.1561
수원시 팔달구,192225,,,58370.37385
수원시 영통구,360127,,,109354.9102
용인시 처인구,259872,278423,1075570,67270.6954
용인시 기흥구,438500,,,113510.4972
용인시 수지구,377198,,,97641.80737
성남시 수정구,232125,262684,920362,66251.67434
성남시 중원구,206211,,,58855.46157
성남시 분당구,482026,,,137576.8641
부천시,791263,224595,,224595
화성시,907958,260316,,260316
안산시 상록구,345535,190546,643044,102388.5024
안산시 단원구,297509,,,88157.49764
안양시 만안구,234296,152207,548398,65028.48528
안양시 동안구,314102,,,87178.51472
평택시,577335,316322,,316322
시흥시,512438,146801,,146801
김포시,484194,127499,,127499
광주시,391704,100680,,100680
광명시,288182,76757,,76757
군포시,266531,73938,,73938
하남시,325310,91765,,91765
오산시,229833,68589,,68589
이천시,223151,62261,,62261
안성시,189146,45902,,45902
의왕시,160464,45582,,45582
양평군,122463,21290,,21290
여주시,113096,23085,,23085
과천시,77775,20397,,20397
고양시 덕양구,487874,289324,1075202,131281.059
고양시 일산동구,296590,,,79808.82212
고양시 일산서구,290738,,,78234.1189
남양주시,737366,176762,,176762
파주시,494970,127905,,127905
의정부시,463789,124355,,124355
양주시,241346,55818,,55818
구리시,188876,51033,,51033
포천시,147019,32828,,32828
동두천시,91735,21008,,21008
가평군,62197,11629,,11629
연천군,42153,9213,,9213
