구분,시군단위 지역내총생산
수원시 장안구,"2,796"
수원시 권선구,
수원시 팔달구,
수원시 영통구,
용인시 처인구,"3,145"
용인시 기흥구,
용인시 수지구,
성남시 수정구,"5,030"
성남시 중원구,
성남시 분당구,
부천시,"2,191"
화성시,"9,839"
안산시 상록구,"3,799"
안산시 단원구,
안양시 만안구,"3,221"
안양시 동안구,
평택시,"6,091"
시흥시,"3,465"
김포시,"3,172"
광주시,"2,689"
광명시,"2,615"
군포시,"2,659"
하남시,"2,671"
오산시,"2,463"
이천시,"11,490"
안성시,"5,309"
의왕시,"2,465"
양평군,"1,797"
여주시,"3,867"
과천시,"7,243"
고양시 덕양구,"2,048"
고양시 일산동구,
고양시 일산서구,
남양주시,"1,805"
파주시,"4,603"
의정부시,"1,625"
양주시,"3,048"
구리시,"1,758"
포천시,"4,927"
동두천시,"1,922"
가평군,"2,977"
연천군,"4,101"
