sigun,avg_income,total_income
태안군,9104302,91043020
익산시,8845690.333,53074142
완주군,7514919.529,127753632
김해시,7465775.667,22397327
예천군,5709680.833,34258085
영주시,5451765.467,81776482
포천시,5311996.75,21247987
예산군,5274017.333,15822052
안동시,5182887,41463096
상주시,4867250,19469000
군산시,4622165.778,41599492
정읍시,4603114.333,13809343
서산시,4366978.222,78605608
해남군,4271777.667,12815333
증평군,4185233.333,12555700
장흥군,4048729.125,32389833
경주시,4023568.333,12070705
화성시,3992250,11976750
부산광역시,3974445.333,35770008
가평군,3885000,11655000
보령시,3877405.333,46528864
진안군,3832425.615,49821533
홍천군,3805833.333,45670000
부안군,3789186.083,45470233
통영시,3751831.5,22510989
서천군,3713311.5,37133115
고창군,3710252.091,40812773
당진시,3589900.667,53848510
북제주군(동부),3588885.75,71777715
구미시,3526592.6,17632963
양평군,3494280.25,27954242
임실군,3384041.667,20304250
북제주군(서부),3383315,60899670
고양시,3327931.667,19967590
포항시,3218205,16091025
군위군,3010000,9030000
무안군,2994204.625,71860911
강릉시,2971887.692,77269080
영덕군,2971594.182,32687536
횡성군,2862775.444,25764979
괴산군,2854966.667,25694700
양양군,2822476.333,8467429
아산시,2797719.167,16786315
영광군,2772770,24954930
철원군,2734711.667,8204135
평창군,2702370.633,81071119
제주시,2661167.926,71851534
김제시,2654109.889,23886989
봉화군,2620877.882,44554924
음성군,2611000,7833000
파주시,2597766.875,20782135
나주시,2557109.222,23013983
보성군,2550000,15300000
제천시,2516307.667,7548923
양산시,2503505.667,30042068
남해군,2447944.6,36719169
영암군,2424790.444,21823114
태백시,2370070.25,28440843
단양군,2365174,28382088
안성시,2341972.667,14051836
김포시,2320183,6960549
이천시,2220463,6661389
김천시,2214223.25,8856893
문경시,2178750,8715000
전라남도,2155869.706,36649785
울진군,2117005.667,6351017
남원시,2089099,6267297
연천군,2078524,6235572
홍성군,2070501.111,18634510
춘천시,2057694.667,6173084
청송군,2027434.529,34466387
신안군,2015510.846,26201641
정선군,1995153.353,33917607
무주군,1994185,17947665
진도군,1970735.444,17736619
원주시,1968944.813,31503117
영양군,1823171.5,10939029
진천군,1802882,5408646
거제시,1799948,5399844
보은군,1755606.333,15800457
영월군,1721746.333,15495717
청주시,1706081,5118243
고성군,1590084.333,9540506
순창군,1568627.333,4705882
동해시,1560125,4680375
삼척시,1459204.889,13132844
여수시,1427292,4281876
장수군,1268966.667,3806900
양구군,1227389.333,3682168
