"시, 구","동, 면",토지용도
수원시 장안구,상광교동,녹지
수원시 장안구,송죽동,주거
수원시 장안구,연무동,주거
수원시 장안구,영화동,주거
수원시 장안구,율전동,주거
수원시 장안구,이목동,녹지
수원시 장안구,정자동,주거
수원시 장안구,조원동,주거
수원시 장안구,천천동,주거
수원시 장안구,파장동,주거
수원시 장안구,하광교동,녹지
수원시 권선구,고색동,공업
수원시 권선구,곡반정동,주거
수원시 권선구,구운동,주거
수원시 권선구,권선동,주거
수원시 권선구,금곡동,주거
수원시 권선구,당수동,녹지
수원시 권선구,대황교동,녹지
수원시 권선구,서둔동,녹지
수원시 권선구,세류동,주거
수원시 권선구,오목천동,녹지
수원시 권선구,장지동,녹지
수원시 권선구,입북동,녹지
수원시 권선구,탑동,녹지
수원시 권선구,평동,녹지
수원시 권선구,평리동,녹지
수원시 권선구,호매실동,녹지
수원시 팔달구,고등동,주거
수원시 팔달구,교동,상업
수원시 팔달구,구천동,상업
수원시 팔달구,남수동,녹지
수원시 팔달구,남창동,녹지
수원시 팔달구,매교동,주거
수원시 팔달구,메산로1가,상업
수원시 팔달구,메산로2가,상업
수원시 팔달구,메산로3가,주거
수원시 팔달구,매향동,주거
수원시 팔달구,북수동,상업
수원시 팔달구,신풍동,주거
수원시 팔달구,영동,상업
수원시 팔달구,우만동,녹지
수원시 팔달구,인계동,주거
수원시 팔달구,장안동,주거
수원시 팔달구,중동,상업
수원시 팔달구,지동,주거
수원시 팔달구,팔달로1가,상업
수원시 팔달구,팔달로2가,상업
수원시 팔달구,팔달로3가,상업
수원시 팔달구,화서동,주거
수원시 영통구,망포동,주거
수원시 영통구,메탄동,공업
수원시 영통구,신동,주거
수원시 영통구,영통동,주거
수원시 영통구,원천동,공업
수원시 영통구,이의동,주거
수원시 영통구,하동,녹지
용인시 처인구,고림동,녹지
용인시 처인구,김량장동,상업
용인시 처인구,남동,녹지
용인시 처인구,남사읍,녹지
용인시 처인구,마평동,녹지
용인시 처인구,모현읍,녹지
용인시 처인구,백암면,녹지
용인시 처인구,삼가동,상업
용인시 처인구,남곡리,녹지
용인시 처인구,역북동,주거
용인시 처인구,운학동,녹지
용인시 처인구,원삼면,녹지
용인시 처인구,유방동,녹지
용인시 처인구,이동읍,녹지
용인시 처인구,포곡읍,녹지
용인시 처인구,해곡동,녹지
용인시 처인구,호동,녹지
용인시 기흥구,신갈동,녹지
용인시 기흥구,구갈동,녹지
용인시 기흥구,하갈동,녹지
용인시 기흥구,서천동,주거
용인시 기흥구,농서동,공업
용인시 기흥구,석우동,공업
용인시 기흥구,반원동,주거
용인시 기흥구,영덕동,주거
용인시 기흥구,신갈동,녹지
용인시 기흥구,보정동,녹지
용인시 기흥구,마북동,녹지
용인시 기흥구,언남동,녹지
용인시 기흥구,청덕동,녹지
용인시 기흥구,동백동,녹지
용인시 기흥구,상하동,녹지
용인시 기흥구,지곡동,녹지
용인시 기흥구,공세동,녹지
용인시 기흥구,하갈동,녹지
용인시 기흥구,보라동,주거
용인시 기흥구,고매동,녹지
용인시 기흥구,상갈동,녹지
용인시 기흥구,중동,녹지
용인시 수지구,고기동,녹지
용인시 수지구,동천동,녹지
용인시 수지구,상현동,주거
용인시 수지구,성복동,주거
용인시 수지구,신봉동,녹지
용인시 수지구,죽전동,주거
용인시 수지구,풍덕천동,주거
성남시 수정구,상적동,녹지
성남시 수정구,고등동,녹지
성남시 수정구,둔전동,녹지
성남시 수정구,심곡동,녹지
성남시 수정구,오야동,녹지
성남시 수정구,신촌동,녹지
성남시 수정구,복정동,녹지
성남시 수정구,태평동,주거
성남시 수정구,신흥동,주거
성남시 수정구,수진동,주거
성남시 수정구,성남동,주거
성남시 수정구,금토동,녹지
성남시 수정구,단대동,주거
성남시 수정구,사송동,녹지
성남시 수정구,산성동,주거
성남시 수정구,상적동,녹지
성남시 수정구,신촌동,녹지
성남시 수정구,양지동,녹지
성남시 수정구,창곡동,주거
성남시 중원구,상대원동,공업
성남시 중원구,갈현동,녹지
성남시 중원구,도촌동,녹지
성남시 중원구,여수동,녹지
성남시 중원구,하대원동,녹지
성남시 중원구,성남동,주거
성남시 중원구,은행동,녹지
성남시 중원구,금광동,주거
성남시 중원구,중앙동,상업
성남시 분당구,운중동,녹지
성남시 분당구,석운동,녹지
성남시 분당구,대장동,녹지
성남시 분당구,하산운동,녹지
성남시 분당구,판교동,주거
성남시 분당구,삼평동,주거
성남시 분당구,백현동,주거
성남시 분당구,야탑동,주거
성남시 분당구,이메동,녹지
성남시 분당구,서현동,주거
성남시 분당구,율동,녹지
성남시 분당구,수내동,주거
성남시 분당구,정자동,주거
성남시 분당구,분당동,주거
성남시 분당구,구미동,주거
성남시 분당구,동원동,녹지
성남시 분당구,금곡동,녹지
성남시 분당구,궁내동,녹지
부천시,상동,주거
부천시,중동,주거
부천시,춘의동,공업
부천시,원미동,주거
부천시,역곡동,주거
부천시, 괴안동,주거
부천시,소사본동,녹지
부천시,소사동,주거
부천시,심곡본동,주거
부천시,심곡동,주거
부천시,여월동,녹지
부천시,약대동,주거
부천시,송내동,주거
부천시,범박동,주거
부천시,옥길동,주거
부천시,계수동,녹지
부천시,대야동,주거
부천시,작동,녹지
부천시,원종동,주거
부천시,신천동,녹지
부천시,은행동,주거
부천시,고강동,녹지
부천시,내동,공업
부천시,도당동,공업
부천시,삼정동,공업
부천시,대장동,주거
화성시,금곡동,녹지
화성시,기산동,주거
화성시,궐동,주거
화성시,기안동,녹지
화성시,남양읍,녹지
화성시,능동,주거
화성시,마도면,녹지
화성시,매송면,녹지
화성시,목동,주거
화성시,반송동,주거
화성시,반월동,주거
화성시,방교동,공업
화성시,배양동,녹지
화성시,병점동,주거
화성시,봉담읍,녹지
화성시,비봉면,녹지
화성시,산척동,주거
화성시,서신면,녹지
화성시,송동,주거
화성시,송산동,녹지
화성시,송산면,녹지
화성시,신동,주거
화성시,안녕동,녹지
화성시,양감면,녹지
화성시,영천동,주거
화성시,오산동,상업
화성시,우정읍,녹지
화성시,장안면,녹지
화성시,장지동,녹지
화성시,정남면,녹지
화성시,중동,녹지
화성시,진안동,주거
화성시,청계동,주거
화성시,팔탄면,녹지
화성시,향남읍,녹지
화성시,황계동,녹지
화성시,석우동,공업
안산시 단원구,고잔동,주거
안산시 단원구,대부남동,녹지
안산시 단원구,대부북동,녹지
안산시 단원구,목내동,공업
안산시 단원구,선감동,녹지
안산시 단원구,선부동,주거
안산시 단원구,성곡동,공업
안산시 단원구,신길동,녹지
안산시 단원구,와동,주거
안산시 단원구,원곡동,주거
안산시 단원구,원시동,공업
안산시 단원구,초지동,주거
안산시 단원구,풍도동,녹지
안산시 단원구,화정동,녹지
안산시 상록구,건건동,녹지
안산시 상록구,본오동,주거
안산시 상록구,부곡동,녹지
안산시 상록구,사동,녹지
안산시 상록구,사사동,녹지
안산시 상록구,성포동,주거
안산시 상록구,수암동,녹지
안산시 상록구,양상동,녹지
안산시 상록구,월피동,주거
안산시 상록구,일동,주거
안산시 상록구,장상동,녹지
안산시 상록구,장하동,녹지
안산시 상록구,팔곡이동,녹지
안산시 상록구,팔곡일동,녹지
안산시 상록구,이동,주거
안양시 동안구,관양동,주거
안양시 동안구,비산동,녹지
안양시 동안구,평촌동,주거
안양시 동안구,호계동,주거
안양시 만안구,박달동,녹지
안양시 만안구,석수동,녹지
안양시 만안구,안양동,주거
평택시,가재동,녹지
평택시,고독동,주거
평택시,고덕면,녹지
평택시,군문동,녹지
평택시,도일동,녹지
평택시,독곡동,녹지
평택시,동삭동,주거
평택시,모곡동,공업
평택시,비전동,주거
평택시,서정동,주거
평택시,서탄면,녹지
평택시,세교동,주거
평택시,소사동,녹지
평택시,신대동,녹지
평택시,신장동,주거
평택시,안중읍,녹지
평택시,오성면,녹지
평택시,용이동,주거
평택시,월곡동,녹지
평택시,유천동,녹지
평택시,이충동,주거
평택시,장당동,녹지
평택시,장안동,주거
평택시,죽백동,녹지
평택시,지산동,녹지
평택시,지제동,상업
평택시,진위면,녹지
평택시,청룡동,녹지
평택시,청북읍,녹지
평택시,칠괴동,공업
평택시,칠원동,주거
평택시,통북동,녹지
평택시,팽성읍,녹지
평택시,평택동,상업
평택시,포승읍,공업
평택시,현덕면,녹지
평택시,합정동,녹지
시흥시,거모동,녹지
시흥시,계수동,녹지
시흥시,과림동,주거
시흥시,광성동,녹지
시흥시,군자동,녹지
시흥시,금이동,녹지
시흥시,논곡동,녹지
시흥시,능곡동,주거
시흥시,대양동,녹지
시흥시,도창동,녹지
시흥시,매화동,녹지
시흥시,목감동,녹지
시흥시,무지내동,주거
시흥시,물왕동,녹지
시흥시,미산동,녹지
시흥시,방산동,녹지
시흥시,배곧동,주거
시흥시,산현동,녹지
시흥시,안현동,녹지
시흥시,월곶동,녹지
시흥시,은행동,주거
시흥시,장곡동,녹지
시흥시,장현동,녹지
시흥시,정왕동,공업
시흥시,조남동,녹지
시흥시,포동,녹지
시흥시,하상동,녹지
시흥시,하중동,녹지
시흥시,화중동,녹지
시흥시,죽율동,녹지
시흥시,신천동,주거
김포시,감정동,녹지
김포시,걸포동,녹지
김포시,고촌읍,주거
김포시,구래동,주거
김포시,대곶면,녹지
김포시,마산동,주거
김포시,북변동,주거
김포시,사우동,주거
김포시,양촌읍,공업
김포시,운양동,주거
김포시,월곶면,녹지
김포시,장기동,주거
김포시,통진읍,녹지
김포시,풍무동,주거
김포시,하성면,녹지
광주시,경안동,주거
광주시,고산동,녹지
광주시,곤지암읍,녹지
광주시,남종면,녹지
광주시,남산상성면,녹지
광주시,능평동,녹지
광주시,도척면,녹지
광주시,매산동,녹지
광주시,목동,녹지
광주시,목현동,녹지
광주시,문형동,녹지
광주시,삼동,녹지
광주시,송정동,녹지
광주시,신현동,녹지
광주시,쌍령동,녹지
광주시,양벌동,녹지
광주시,역동,주거
광주시,장지동,녹지
광주시,중대동,녹지
광주시,직동,녹지
광주시,초월읍,녹지
광주시,추자동,녹지
광주시,탄벌동,녹지
광주시,태전동,녹지
광주시,퇴촌면,녹지
광주시,화덕동,녹지
광명시,가학동,주거
광명시,광명동,주거
광명시,노은사동,녹지
광명시,소하동,주거
광명시,옥길동,주거
광명시,철산동,주거
광명시,일직동,상업
광명시,철산동,주거
광명시,하안동,녹지
군포시,금정동,주거
군포시,당동,주거
군포시,당정동,공업
군포시,대야미동,녹지
군포시,도마교동,녹지
군포시,둔대동,녹지
군포시,부곡동,공업
군포시,산본동,주거
군포시,속달동,녹지
하남시,감북동,녹지
하남시,감이동,녹지
하남시,감일동,주거
하남시,광암동,녹지
하남시,교산동,주거
하남시,당정동,녹지
하남시,덕풍동,주거
하남시,망월동,상업
하남시,미사동,녹지
하남시,배알미동,녹지
하남시,상사창동,녹지
하남시,상사곡동,녹지
하남시,선동,녹지
하남시,신장동,주거
하남시,창우동,녹지
하남시,천현동,녹지
하남시,초이동,녹지
하남시,초일동,녹지
하남시,춘궁동,녹지
하남시,풍산동,주거
하남시,하사창동,녹지
