,녹지,주거,공업,상업
가평군,1.0,0.0,0.0,0.0
고양시 덕양구,0.65625,0.34375,0.0,0.0
고양시 일산동구,0.46153846153846156,0.46153846153846156,0.0,0.07692307692307693
고양시 일산서구,0.5,0.375,0.0,0.125
과천시,0.5,0.5,0.0,0.0
광명시,0.2222222222222222,0.6666666666666666,0.0,0.1111111111111111
광주시,0.9230769230769231,0.07692307692307693,0.0,0.0
구리시,0.5,0.5,0.0,0.0
군포시,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.0
김포시,0.4,0.5333333333333333,0.06666666666666667,0.0
남양주시,0.5263157894736842,0.47368421052631576,0.0,0.0
동두천시,0.75,0.08333333333333333,0.08333333333333333,0.08333333333333333
부천시,0.23076923076923078,0.6153846153846154,0.15384615384615385,0.0
성남시 분당구,0.5,0.5,0.0,0.0
성남시 수정구,0.631578947368421,0.3684210526315789,0.0,0.0
성남시 중원구,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.1111111111111111
수원시 권선구,0.625,0.3125,0.0625,0.0
수원시 영통구,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0
수원시 장안구,0.2727272727272727,0.7272727272727273,0.0,0.0
수원시 팔달구,0.13636363636363635,0.4090909090909091,0.0,0.45454545454545453
시흥시,0.7741935483870968,0.1935483870967742,0.03225806451612903,0.0
안산시 단원구,0.42857142857142855,0.35714285714285715,0.21428571428571427,0.0
안산시 상록구,0.6666666666666666,0.3333333333333333,0.0,0.0
안성시,0.5555555555555556,0.28888888888888886,0.044444444444444446,0.1111111111111111
안양시 동안구,0.25,0.75,0.0,0.0
안양시 만안구,0.6666666666666666,0.3333333333333333,0.0,0.0
양주시,0.7272727272727273,0.22727272727272727,0.045454545454545456,0.0
양평군,1.0,0.0,0.0,0.0
여주시,0.875,0.125,0.0,0.0
연천군,1.0,0.0,0.0,0.0
오산시,0.3333333333333333,0.5,0.08333333333333333,0.08333333333333333
용인시 기흥구,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.0
용인시 수지구,0.42857142857142855,0.5714285714285714,0.0,0.0
용인시 처인구,0.8235294117647058,0.058823529411764705,0.0,0.11764705882352941
의왕시,0.6363636363636364,0.36363636363636365,0.0,0.0
의정부시,0.46153846153846156,0.46153846153846156,0.0,0.07692307692307693
이천시,0.88,0.08,0.0,0.04
파주시,0.8,0.14285714285714285,0.02857142857142857,0.02857142857142857
평택시,0.5945945945945946,0.2702702702702703,0.08108108108108109,0.05405405405405406
포천시,0.8888888888888888,0.1111111111111111,0.0,0.0
하남시,0.4583333333333333,0.5416666666666666,0.0,0.0
화성시,0.5675675675675675,0.35135135135135137,0.05405405405405406,0.02702702702702703
