,"시, 구","동, 면",토지용도
0,수원시 장안구,상광교동,녹지
1,수원시 장안구,송죽동,주거
2,수원시 장안구,연무동,주거
3,수원시 장안구,영화동,주거
4,수원시 장안구,율전동,주거
5,수원시 장안구,이목동,녹지
6,수원시 장안구,정자동,주거
7,수원시 장안구,조원동,주거
8,수원시 장안구,천천동,주거
9,수원시 장안구,파장동,주거
10,수원시 장안구,하광교동,녹지
11,수원시 권선구,고색동,공업
12,수원시 권선구,곡반정동,주거
13,수원시 권선구,구운동,주거
14,수원시 권선구,권선동,주거
15,수원시 권선구,금곡동,주거
16,수원시 권선구,당수동,녹지
17,수원시 권선구,대황교동,녹지
18,수원시 권선구,서둔동,녹지
19,수원시 권선구,세류동,주거
20,수원시 권선구,오목천동,녹지
21,수원시 권선구,장지동,녹지
22,수원시 권선구,입북동,녹지
23,수원시 권선구,탑동,녹지
24,수원시 권선구,평동,녹지
25,수원시 권선구,평리동,녹지
26,수원시 권선구,호매실동,녹지
27,수원시 팔달구,고등동,주거
28,수원시 팔달구,교동,상업
29,수원시 팔달구,구천동,상업
30,수원시 팔달구,남수동,녹지
31,수원시 팔달구,남창동,녹지
32,수원시 팔달구,매교동,주거
33,수원시 팔달구,메산로1가,상업
34,수원시 팔달구,메산로2가,상업
35,수원시 팔달구,메산로3가,주거
36,수원시 팔달구,매향동,주거
37,수원시 팔달구,북수동,상업
38,수원시 팔달구,신풍동,주거
39,수원시 팔달구,영동,상업
40,수원시 팔달구,우만동,녹지
41,수원시 팔달구,인계동,주거
42,수원시 팔달구,장안동,주거
43,수원시 팔달구,중동,상업
44,수원시 팔달구,지동,주거
45,수원시 팔달구,팔달로1가,상업
46,수원시 팔달구,팔달로2가,상업
47,수원시 팔달구,팔달로3가,상업
48,수원시 팔달구,화서동,주거
49,수원시 영통구,망포동,주거
50,수원시 영통구,메탄동,공업
51,수원시 영통구,신동,주거
52,수원시 영통구,영통동,주거
53,수원시 영통구,원천동,공업
54,수원시 영통구,이의동,주거
55,수원시 영통구,하동,녹지
56,용인시 처인구,고림동,녹지
57,용인시 처인구,김량장동,상업
58,용인시 처인구,남동,녹지
59,용인시 처인구,남사읍,녹지
60,용인시 처인구,마평동,녹지
61,용인시 처인구,모현읍,녹지
62,용인시 처인구,백암면,녹지
63,용인시 처인구,삼가동,상업
64,용인시 처인구,남곡리,녹지
65,용인시 처인구,역북동,주거
66,용인시 처인구,운학동,녹지
67,용인시 처인구,원삼면,녹지
68,용인시 처인구,유방동,녹지
69,용인시 처인구,이동읍,녹지
70,용인시 처인구,포곡읍,녹지
71,용인시 처인구,해곡동,녹지
72,용인시 처인구,호동,녹지
73,용인시 기흥구,신갈동,녹지
74,용인시 기흥구,구갈동,녹지
75,용인시 기흥구,하갈동,녹지
76,용인시 기흥구,서천동,주거
77,용인시 기흥구,농서동,공업
78,용인시 기흥구,석우동,공업
79,용인시 기흥구,반원동,주거
80,용인시 기흥구,영덕동,주거
81,용인시 기흥구,신갈동,녹지
82,용인시 기흥구,보정동,녹지
83,용인시 기흥구,마북동,녹지
84,용인시 기흥구,언남동,녹지
85,용인시 기흥구,청덕동,녹지
86,용인시 기흥구,동백동,녹지
87,용인시 기흥구,상하동,녹지
88,용인시 기흥구,지곡동,녹지
89,용인시 기흥구,공세동,녹지
90,용인시 기흥구,하갈동,녹지
91,용인시 기흥구,보라동,주거
92,용인시 기흥구,고매동,녹지
93,용인시 기흥구,상갈동,녹지
94,용인시 기흥구,중동,녹지
95,용인시 수지구,고기동,녹지
96,용인시 수지구,동천동,녹지
97,용인시 수지구,상현동,주거
98,용인시 수지구,성복동,주거
99,용인시 수지구,신봉동,녹지
100,용인시 수지구,죽전동,주거
101,용인시 수지구,풍덕천동,주거
102,성남시 수정구,상적동,녹지
103,성남시 수정구,고등동,녹지
104,성남시 수정구,둔전동,녹지
105,성남시 수정구,심곡동,녹지
106,성남시 수정구,오야동,녹지
107,성남시 수정구,신촌동,녹지
108,성남시 수정구,복정동,녹지
109,성남시 수정구,태평동,주거
110,성남시 수정구,신흥동,주거
111,성남시 수정구,수진동,주거
112,성남시 수정구,성남동,주거
113,성남시 수정구,금토동,녹지
114,성남시 수정구,단대동,주거
115,성남시 수정구,사송동,녹지
116,성남시 수정구,산성동,주거
117,성남시 수정구,상적동,녹지
118,성남시 수정구,신촌동,녹지
119,성남시 수정구,양지동,녹지
120,성남시 수정구,창곡동,주거
121,성남시 중원구,상대원동,공업
122,성남시 중원구,갈현동,녹지
123,성남시 중원구,도촌동,녹지
124,성남시 중원구,여수동,녹지
125,성남시 중원구,하대원동,녹지
126,성남시 중원구,성남동,주거
127,성남시 중원구,은행동,녹지
128,성남시 중원구,금광동,주거
129,성남시 중원구,중앙동,상업
130,성남시 분당구,운중동,녹지
131,성남시 분당구,석운동,녹지
132,성남시 분당구,대장동,녹지
133,성남시 분당구,하산운동,녹지
134,성남시 분당구,판교동,주거
135,성남시 분당구,삼평동,주거
136,성남시 분당구,백현동,주거
137,성남시 분당구,야탑동,주거
138,성남시 분당구,이메동,녹지
139,성남시 분당구,서현동,주거
140,성남시 분당구,율동,녹지
141,성남시 분당구,수내동,주거
142,성남시 분당구,정자동,주거
143,성남시 분당구,분당동,주거
144,성남시 분당구,구미동,주거
145,성남시 분당구,동원동,녹지
146,성남시 분당구,금곡동,녹지
147,성남시 분당구,궁내동,녹지
148,부천시,상동,주거
149,부천시,중동,주거
150,부천시,춘의동,공업
151,부천시,원미동,주거
152,부천시,역곡동,주거
153,부천시, 괴안동,주거
154,부천시,소사본동,녹지
155,부천시,소사동,주거
156,부천시,심곡본동,주거
157,부천시,심곡동,주거
158,부천시,여월동,녹지
159,부천시,약대동,주거
160,부천시,송내동,주거
161,부천시,범박동,주거
162,부천시,옥길동,주거
163,부천시,계수동,녹지
164,부천시,대야동,주거
165,부천시,작동,녹지
166,부천시,원종동,주거
167,부천시,신천동,녹지
168,부천시,은행동,주거
169,부천시,고강동,녹지
170,부천시,내동,공업
171,부천시,도당동,공업
172,부천시,삼정동,공업
173,부천시,대장동,주거
174,화성시,금곡동,녹지
175,화성시,기산동,주거
176,화성시,궐동,주거
177,화성시,기안동,녹지
178,화성시,남양읍,녹지
179,화성시,능동,주거
180,화성시,마도면,녹지
181,화성시,매송면,녹지
182,화성시,목동,주거
183,화성시,반송동,주거
184,화성시,반월동,주거
185,화성시,방교동,공업
186,화성시,배양동,녹지
187,화성시,병점동,주거
188,화성시,봉담읍,녹지
189,화성시,비봉면,녹지
190,화성시,산척동,주거
191,화성시,서신면,녹지
192,화성시,송동,주거
193,화성시,송산동,녹지
194,화성시,송산면,녹지
195,화성시,신동,주거
196,화성시,안녕동,녹지
197,화성시,양감면,녹지
198,화성시,영천동,주거
199,화성시,오산동,상업
200,화성시,우정읍,녹지
201,화성시,장안면,녹지
202,화성시,장지동,녹지
203,화성시,정남면,녹지
204,화성시,중동,녹지
205,화성시,진안동,주거
206,화성시,청계동,주거
207,화성시,팔탄면,녹지
208,화성시,향남읍,녹지
209,화성시,황계동,녹지
210,화성시,석우동,공업
211,안산시 단원구,고잔동,주거
212,안산시 단원구,대부남동,녹지
213,안산시 단원구,대부북동,녹지
