adm_cd,adm_nm,pop_tot,pop15_39,pop40_59,pop60
41111,수원시 장안구,33370,15902,4991,12477
41113,수원시 권선구,45190,21534,6758,16897
41115,수원시 팔달구,23669,11279,3540,8850
41117,수원시 영통구,44343,21130,6632,16580
41131,성남시 수정구,29113,11721,4506,12885
41133,성남시 중원구,25863,10413,4003,11447
41135,성남시 분당구,60456,24340,9357,26758
41150,의정부시,50008,15320,7616,27072
41171,안양시 만안구,20735,6862,3096,10777
41173,안양시 동안구,27798,9200,4151,14447
41190,부천시,85105,26331,13937,44837
41210,광명시,26496,7630,4246,14620
41220,평택시,69593,27258,12225,30110
41250,동두천시,12035,2386,1560,8089
41271,안산시 상록구,44034,16003,8146,19885
41273,안산시 단원구,37914,13778,7013,17121
41281,고양시 덕양구,45561,14541,8061,22958
41285,고양시 일산동구,27697,8840,4901,13957
41287,고양시 일산서구,27151,8666,4804,13681
41290,과천시,3744,1184,524,2036
41310,구리시,18155,4989,3088,10077
41360,남양주시,53418,13508,9150,30760
41370,오산시,29692,14396,5395,9901
41390,시흥시,55926,20856,11402,23667
41410,군포시,26017,8311,4079,13627
41430,의왕시,12877,4835,1685,6356
41450,하남시,33759,15092,5501,13166
41461,용인시 처인구,21783,9571,3263,8949
41463,용인시 기흥구,36756,16149,5506,15100
41465,용인시 수지구,31617,13892,4736,12989
41480,파주시,43803,14594,7101,22108
41500,이천시,24332,9216,3649,11467
41550,안성시,26020,9524,3758,12738
41570,김포시,41284,14927,7385,18972
41590,화성시,91164,45570,15529,30065
41610,광주시,34577,10542,7124,16911
41630,양주시,22433,5790,3551,13091
41650,포천시,19088,4060,2560,12468
41670,여주시,13288,2917,1792,8579
41800,연천군,6200,1338,503,4359
41820,가평군,8996,1509,958,6529
41830,양평군,14949,2110,1701,11138
