시군명,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부,addr,x,y,lng,lat
부천시,(건우3차아파트),송내동,328-1,1986-06-14,5,1,124,N,경기도 부천시 송내동 328-1,934212.629401194,1943056.78576311,126.75587555769668,37.484410684264816
부천시,(국경아파트),괴안동,26696,1988-02-12,5,1,45,N,경기도 부천시 괴안동 26696,,,,
부천시,(근영아파트),송내동,593-5,1982-10-27,4,1,20,N,경기도 부천시 송내동 593-5,935635.583207981,1942717.13178349,126.77199916566224,37.4814496666176
부천시,(대보아파트),송내동,336-7,1988-03-28,5,1,30,N,경기도 부천시 송내동 336-7,934381.64770609,1943314.89730381,126.7577641699269,37.486749050551055
부천시,(대성아파트),괴안동,120-12,1986-12-29,5,1,30,N,경기도 부천시 괴안동 120-12,939357.749350224,1942593.17743961,126.81410650298676,37.480584355561334
부천시,(대성아파트),괴안동,175-6,1988-12-06,5,1,40,N,경기도 부천시 괴안동 175-6,939624.064019299,1943113.51412211,126.81707576967464,37.48529162361907
부천시,(대양아파트),송내동,299-16,1987-05-19,5,1,30,N,경기도 부천시 송내동 299-16,934198.826726947,1943325.48102863,126.75569542065226,37.48683143148923
부천시,(대현8차아파트),괴안동,107-11,1987-12-04,5,1,30,N,경기도 부천시 괴안동 107-11,939089.031422548,1942747.68087745,126.81105458649641,37.481959219208846
부천시,(대현아파트),괴안동,118,1987-12-04,5,1,50,N,경기도 부천시 괴안동 118,939233.750986445,1942685.57211075,126.81269648522847,37.48140896324189
부천시,(동아아파트),송내동,592-3,1984-05-18,5,1,65,N,경기도 부천시 송내동 592-3,935607.177374625,1942787.39040116,126.77167175531288,37.48208092502861
부천시,(부안아파트),괴안동,104-3,1986-11-07,5,1,40,N,경기도 부천시 괴안동 104-3,939265.615766612,1942529.62213222,126.81306973968364,37.48000547474627
부천시,(삼우아파트),송내동,405,1986-03-26,5,1,60,N,경기도 부천시 송내동 405,934456.500189032,1942840.45432538,126.75865304758769,37.4824782434408
부천시,(우남아파트),약대동,119,1994-05-24,11,1,92,N,경기도 부천시 약대동 119,935679.342572979,1946286.73521878,126.77218188313539,37.51362534256606
부천시,(진우아파트),송내동,366-4,1987-03-16,5,1,30,N,경기도 부천시 송내동 366-4,934740.204271605,1943020.65646236,126.76184573377317,37.484122485290186
부천시,(청운아파트),괴안동,44645,1985-11-28,4,1,60,N,경기도 부천시 괴안동 44645,,,,
