시군명,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부,addr,x,y,lng,lat
성남시,LH위례31단지,창곡동,500,2017-07-07,15,13,2334,N,경기도 성남시 창곡동 500,967703.547137337,1941582.07855826,127.13474710877836,37.472896989175986
성남시,LH위례36단지,창곡동,501,2021-01-04,15,3,470,N,경기도 성남시 창곡동 501,967698.786889659,1941481.19446715,127.13469769984096,37.47198750145785
성남시,MD아파트,수진동,2220,2001-12-10,11,1,63,N,경기도 성남시 수진동 2220,968039.240912453,1937592.44979592,127.13871654807063,37.436947921636616
성남시,SR HIGHONE 하이원,성남동,3755,2004-05-21,12,1,44,N,경기도 성남시 성남동 3755,967748.617029319,1937060.16420183,127.13545467537567,37.43214003398049
성남시,e편한세상 테라스위례,창곡동,575,2017-11-28,4,15,360,N,경기도 성남시 창곡동 575,969222.640576669,1940851.71070132,127.15195734161438,37.46636564076788
성남시,가천대역 두산위브 아파트,태평동,18264,2018-10-12,15,8,503,Y,경기도 성남시 태평동 18264,,,,
성남시,가천대역동부센트레빌1단지,태평동,7343,2006-10-27,14,6,248,Y,경기도 성남시 태평동 7343,967309.389493387,1938843.23402767,127.13041103689667,37.44819644405068
성남시,가천대역동부센트레빌2단지,태평동,7344,2007-02-09,14,4,115,N,경기도 성남시 태평동 7344,967198.679541988,1938798.20954142,127.1291614149149,37.44778669265707
성남시,가천대역쌍용스윗닷홈,태평동,7342,2005-12-07,15,4,191,Y,경기도 성남시 태평동 7342,967084.180196634,1938874.76716172,127.12786353796577,37.44847268030988
성남시,고등마을아파트,고등동,578,2019-07-15,15,11,1520,N,경기도 성남시 고등동 578,964551.582637619,1936970.89971987,127.09932286879047,37.43121847703794
성남시,구미까치마을건영빌라5단지,구미동,12,1995-06-22,4,9,208,Y,경기도 성남시 구미동 12,965268.155628181,1927741.45806377,127.10785575149869,37.34805494100815
성남시,구미까치마을대우롯데선경,구미동,77,1995-11-25,25,16,976,Y,경기도 성남시 구미동 77,966100.476335307,1927984.43242562,127.11724186083637,37.35027581523878
