시군명,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부,addr,x,y,lng,lat
가평군,가평블루핀,가평읍 읍내리,766-3,2019-09-27,19,2,119,N,경기도 가평군 가평읍 읍내리 766-3,1000668.76528436,1981987.33999711,127.50760042350302,37.837651203208964
가평군,가평우림필유,가평읍 대곡리,360,2006-12-26,15,2,190,Y,경기도 가평군 가평읍 대곡리 360,1000909.00806808,1980391.4678449,127.5103287436543,37.823267143813375
가평군,가평읍내주공아파트,가평읍 읍내리,270,1999-11-19,12,5,355,N,경기도 가평군 가평읍 읍내리 270,1001229.25097829,1981401.2528367,127.5139692684135,37.83236812650697
가평군,가평읍내휴먼시아2단지,가평읍 읍내리,234,2010-08-30,13,6,335,N,경기도 가평군 가평읍 읍내리 234,1001118.75742809,1981626.62844603,127.51271396291224,37.83439961421064
가평군,가평코아루,가평읍 읍내리,1053,2021-11-09,20,3,221,Y,경기도 가평군 가평읍 읍내리 1053,,,,
가평군,가평파란채,가평읍 읍내리,771-1,2007-11-01,15,3,243,Y,경기도 가평군 가평읍 읍내리 771-1,1000548.56257751,1981999.49757518,127.50623434585737,37.83776086151162
가평군,개나리연립,가평읍 읍내리,266-5,1990-12-15,4,1,24,N,경기도 가평군 가평읍 읍내리 266-5,1001054.17034108,1981518.94298574,127.51197981502835,37.833429105416776
가평군,동일국민주택,청평면 청평리,306-3 외1,1987-08-13,3,3,42,N,경기도 가평군 청평면 청평리 306-3 외1,993143.164624958,1971307.00272748,127.42217409018828,37.74136149204991
가평군,로얄아파트,청평면 청평리,626-8 외2,2007-05-01,11,2,54,N,경기도 가평군 청평면 청평리 626-8 외2,992387.026101888,1970310.8595459,127.41360226979741,37.73237698212964
가평군,르메이에르 청평빌라,설악면 회곡리,428-1 외1,2006-11-09,4,4,48,N,경기도 가평군 설악면 회곡리 428-1 외1,995508.73964921,1967266.10880411,127.44904859495824,37.704954285670134
가평군,보납빌라,가평읍 읍내리,641 외1,1989-12-08,3,1,21,N,경기도 가평군 가평읍 읍내리 641 외1,1000723.54157624,1981583.78050243,127.50822254462098,37.83401381827334
가평군,보인빌라,가평읍 읍내리,329-9 외1,1986-10-18,3,1,36,N,경기도 가평군 가평읍 읍내리 329-9 외1,1001036.44787954,1980870.73940344,127.5117774845305,37.82758676300421
가평군,북한강코아루,설악면 선촌리,663,2014-04-02,19,4,237,Y,경기도 가평군 설악면 선촌리 663,999399.643844475,1964960.35816454,127.49319111872225,37.684182516549974
가평군,선힐하이뷰아파트,가평읍 대곡리,402-1,2008-05-28,15,3,180,Y,경기도 가평군 가평읍 대곡리 402-1,1000907.9119085,1979877.48696253,127.5103156436107,37.81863454531592
가평군,세대넥스빌아파트,가평읍 달전리,281,1996-02-29,18,1,138,N,경기도 가평군 가평읍 달전리 281,1001785.26528291,1979344.47992589,127.52028276800944,37.81382916126096
가평군,송안아파트,가평읍 읍내리,837-1,2009-10-08,10,1,54,N,경기도 가평군 가평읍 읍내리 837-1,1000494.35998432,1981592.57806222,127.50561806193915,37.8340932650757
가평군,신초아파트,가평읍 달전리,285-1 외1,1993-09-21,11,2,89,N,경기도 가평군 가평읍 달전리 285-1 외1,1001756.77699998,1979252.91680646,127.5199588845854,37.81300394111352
가평군,아산빌리지,청평면 청평리,319-7 외8,1999-03-22,4,5,164,N,경기도 가평군 청평면 청평리 319-7 외8,993202.430951825,1971182.35235441,127.4228479356914,37.7402384243316
가평군,에덴아파트,가평읍 읍내리,292-7,1991-08-21,5,1,40,N,경기도 가평군 가평읍 읍내리 292-7,1001782.55377687,1981374.71388838,127.52025696285148,37.83212801319145
