시군명,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부,addr,x,y,lng,lat
김포시,E편한세상 김포로얄하임,통진읍,513,2021-06-08,18,7,574,Y,경기도 김포시 통진읍 513,,,,
김포시,GS 자이아파트,풍무동,766,2010-06-17,18,8,373,Y,경기도 김포시 풍무동 766,931838.699171291,1956271.7568607,126.72779852479229,37.603342152055795
김포시,GS 자이아파트,풍무동,764,2010-06-17,19,8,445,Y,경기도 김포시 풍무동 764,931579.247791759,1956311.18697879,126.72485575067573,37.60367825515211
김포시,LH한강센트럴리버,구래동,nan,2015-06-29,29,8,820,N,경기도 김포시 구래동 nan,922861.700741376029,1960960.01359999995,126.6256132403241,37.64488550694273
김포시,LH호수마을5단지,구래동,1817327,2016-04-21,25,8,890,N,경기도 김포시 구래동 1817327,,,,
김포시,e편한세상 한강신도시2차,마산동,672-3,2018-05-03,29,8,807,Y,경기도 김포시 마산동 672-3,924033.41629778,1960001.23210817,126.6389933540781,37.636342243153734
김포시,강변마을 월드메르디앙,고촌읍,1280,2010-02-04,15,11,560,Y,경기도 김포시 고촌읍 1280,935952.624030583,1956718.93385515,126.77436261844939,37.607668197703326
김포시,강변마을동부센트레빌,고촌읍,1110,2006-11-25,15,6,294,Y,경기도 김포시 고촌읍 1110,,,,
김포시,강변마을동일하이빌,고촌읍,1111,2006-09-25,15,4,220,Y,경기도 김포시 고촌읍 1111,935944.087300681,1956270.60598562,126.77430516476934,37.60362692248421
김포시,강변마을청도솔리움,고촌읍,1102,2006-09-29,15,4,232,Y,경기도 김포시 고촌읍 1102,,,,
김포시,개나리아파트,북변동,112-16,1988-02-03,4,2,48,N,경기도 김포시 북변동 112-16,930278.889749557,1959244.21016979,126.70984546362625,37.630014830614954
김포시,건영,감정동,672,1995-05-10,15,2,150,Y,경기도 김포시 감정동 672,929611.672458872,1958776.97350808,126.70232951641593,37.62575293704228
김포시,경신,사우동,316,1997-05-09,18,1,174,Y,경기도 김포시 사우동 316,931285.250831939,1957782.97512757,126.7213870351958,37.61692106443081
김포시,고다니마을 7단지,양촌읍,1316,2010-07-22,17,8,380,Y,경기도 김포시 양촌읍 1316,,,,
김포시,고다니마을 8단지,양촌읍,1318,2010-04-20,15,11,765,N,경기도 김포시 양촌읍 1318,,,,
김포시,고다니마을 9단지,양촌읍,1332,2010-11-22,15,6,384,N,경기도 김포시 양촌읍 1332,,,,
김포시,고창마을 KCC스위첸,장기동,1886-2,2011-10-31,20,13,1090,Y,경기도 김포시 장기동 1886-2,926201.310360561,1961034.70385341,126.66345742646051,37.645833139816155
김포시,고창마을 자연앤어울림,장기동,1629,2009-05-14,18,10,574,Y,경기도 김포시 장기동 1629,926313.820839217,1960903.1635025,126.66474593665345,37.64465667071186
김포시,고창마을 한양수자인,장기동,1885-10,2012-02-28,26,17,1473,Y,경기도 김포시 장기동 1885-10,925877.312565078,1960775.43873711,126.65981144243435,37.64347042109134
김포시,고창마을 호반베르디움,장기동,1885-6,2012-06-15,20,15,1584,Y,경기도 김포시 장기동 1885-6,925817.311645144,1961109.21027151,126.65909748009975,37.64647368221483
김포시,고창마을반도유보라,장기동,1642,2008-06-27,18,8,447,Y,경기도 김포시 장기동 1642,926272.577007125,1960434.23985413,126.66432581818623,37.640427191576514
김포시,고창마을신영지웰,장기동,1624,2008-05-30,18,5,267,Y,경기도 김포시 장기동 1624,926504.786836927,1960699.68123631,126.66693086299259,37.64283809366613
김포시,고창마을이니스더원,장기동,1635,2008-05-01,18,6,315,Y,경기도 김포시 장기동 1635,926025.732254068,1960618.46116252,126.66150953310954,37.642067632470514
김포시,고창마을이지더원,장기동,1626,2008-04-25,18,5,290,Y,경기도 김포시 장기동 1626,926393.655981009,1960760.13456431,126.66566522173076,37.64337402739207
김포시,고창마을제일풍경채,장기동,1636,2008-03-28,18,6,360,Y,경기도 김포시 장기동 1636,926186.386203266,1960716.33531728,126.6633204565325,37.64296264942033
김포시,고촌길훈1차,고촌읍,539-1,1991-12-24,14,2,275,Y,경기도 김포시 고촌읍 539-1,,,,
김포시,고촌길훈2차,고촌읍,469-3,1995-04-15,15,2,238,Y,경기도 김포시 고촌읍 469-3,,,,
김포시,고촌행정타운 한양수자인,고촌읍,1079,2017-08-10,15,6,420,Y,경기도 김포시 고촌읍 1079,,,,
김포시,곡촌마을,양촌읍,865-1,1999-05-31,15,3,220,Y,경기도 김포시 양촌읍 865-1,923147.174233477,1962348.87971449,126.62870258946052,37.65742644900262
김포시,곡촌마을 1단지,양촌읍,1249,2010-01-11,15,5,421,N,경기도 김포시 양촌읍 1249,,,,
김포시,곡촌마을 2단지,양촌읍,1247,2010-05-11,15,7,557,N,경기도 김포시 양촌읍 1247,,,,
김포시,곡촌마을 3단지,양촌읍,1238,2010-07-09,15,7,345,Y,경기도 김포시 양촌읍 1238,,,,
김포시,곡촌마을 5단지,양촌읍,1235,2017-11-15,20,2,362,N,경기도 김포시 양촌읍 1235,,,,
김포시,곡촌마을 6단지,양촌읍,1254,2010-01-11,15,5,377,N,경기도 김포시 양촌읍 1254,,,,
김포시,그린씨티,풍무동,425,2011-06-20,4,1,87,N,경기도 김포시 풍무동 425,931157.070230834,1956176.02580409,126.72008598994822,37.60242858227106
김포시,금호어울림 1단지,양촌읍,1268,2020-03-16,20,5,406,Y,경기도 김포시 양촌읍 1268,,,,
김포시,금호어울림 2단지,양촌읍,1241,2020-03-16,20,6,467,Y,경기도 김포시 양촌읍 1241,,,,
김포시,김포 고촌 솔리힐더테리스,고촌읍,1202,2018-08-31,5,7,140,N,경기도 김포시 고촌읍 1202,935080.648825083,1955472.37324825,126.76459475070345,37.596372082736245
김포시,김포 센트럴 헤센 1단지,감정동,631,2020-04-03,17,12,700,Y,경기도 김포시 감정동 631,929723.801993692,1957546.61818536,126.70371838557425,37.61467280756775
김포시,김포 풍무꿈에그린 더 포레듀 3단지,풍무동,795,2018-12-27,21,3,179,Y,경기도 김포시 풍무동 795,931386.110227359,1956014.39210318,126.7226956972442,37.60098894743941
김포시,김포 풍무꿈에그린 더 포레듀 4단지,풍무동,797,2018-12-27,23,10,660,Y,경기도 김포시 풍무동 797,931589.117886851,1955837.3349997,126.72501186496798,37.599408311079515
김포시,김포 풍무꿈에그린 더 포레듀 5단지,풍무동,784,2018-12-27,23,5,231,Y,경기도 김포시 풍무동 784,932044.391375748,1955927.96226455,126.73016055585909,37.60025885976785
김포시,김포마송엘에이치3단지,통진읍,44816,2021-03-10,15,8,1088,N,경기도 김포시 통진읍 44816,,,,
김포시,김포사우아이파크,사우동,1481,2018-04-25,24,14,1300,Y,경기도 김포시 사우동 1481,931749.037360063,1958316.70795902,126.72659197085028,37.621765973789586
김포시,김포아파트,사우동,"238-5,238-10",1986-12-30,4,5,239,N,"경기도 김포시 사우동 238-5,238-10",930604.639082155,1957787.5540428,126.71367519059847,37.61691119701113
김포시,김포양촌 금빛마을자연앤 데시앙,양촌읍,3019,2010-12-02,15,14,743,Y,경기도 김포시 양촌읍 3019,922804.834307956,1958067.74128801,126.6252743122589,37.618814379976186
김포시,김포장기엘에이치11단지,장기동,1696,2020-09-15,3,6,196,N,경기도 김포시 장기동 1696,926258.415451521,1960040.482482,126.66420507483484,37.636877319008526
김포시,김포한강 LH나비마을3,구래동,1824479,2014-09-29,20,8,690,N,경기도 김포시 구래동 1824479,,,,
김포시,김포한강 LH솔터마을2,마산동,615-1,2011-11-18,25,14,1860,N,경기도 김포시 마산동 615-1,923659.866528832,1960754.50131396,126.63468123515743,37.64310005171473
김포시,김포한강 LH솔터마을3,마산동,614-10,2012-11-23,25,15,2230,N,경기도 김포시 마산동 614-10,923402.23482191,1960634.90400604,126.63177382110375,37.642000737226745
김포시,김포한강데세리브,구래동,1816201,2020-06-15,20,4,434,N,경기도 김포시 구래동 1816201,,,,
김포시,김포한강삼정그린코아더베스트,양촌읍,1551,2020-02-20,19,9,446,Y,경기도 김포시 양촌읍 1551,,,,
김포시,김포한강센트럴자이1차,장기동,83277,2017-01-20,29,35,3481,Y,경기도 김포시 장기동 83277,,,,
김포시,김포한강센트럴자이2차,장기동,867,2017-05-29,27,9,598,Y,경기도 김포시 장기동 867,927078.439616842,1959859.92977497,126.67351644900218,37.635315556376575
김포시,김포한강아이파크,구래동,6874-20,2018-02-19,21,14,1230,Y,경기도 김포시 구래동 6874-20,923483.318997239,1961655.79718537,126.63258580441007,37.65120820170797
김포시,김포한강엘에이치1단지,장기동,58472,2021-02-09,4,9,443,N,경기도 김포시 장기동 58472,,,,
김포시,김포한강예미지,구래동,1823690,2018-09-28,29,17,1770,N,경기도 김포시 구래동 1823690,,,,
김포시,나비마을 리슈빌,구래동,1821863,2010-03-05,22,6,572,Y,경기도 김포시 구래동 1821863,,,,
김포시,농장마을 신안,사우동,1224,1998-12-31,15,10,651,Y,경기도 김포시 사우동 1224,930351.608836381,1958061.02441658,126.71078227902329,37.61935674482665
김포시,다솜마을,사우동,1479,2006-06-26,18,6,228,Y,경기도 김포시 사우동 1479,931215.745195371,1957709.07428686,126.72060647989844,37.61624982288329
김포시,당곡마을1,풍무동,598-8,1998-12-15,15,11,538,Y,경기도 김포시 풍무동 598-8,931306.437809806,1955841.33403638,126.72180943725728,37.59942328275385
김포시,당곡마을2,풍무동,743,2001-12-27,18,10,600,Y,경기도 김포시 풍무동 743,931104.500997025,1955791.5309568,126.71952669239549,37.59895931856342
김포시,당곡마을3,풍무동,748,2002-08-09,15,27,1846,Y,경기도 김포시 풍무동 748,930938.225906444,1956172.33666515,126.71760728634543,37.60237892411728
김포시,대광연립,사우동,412-1,1985-09-07,3,3,45,N,경기도 김포시 사우동 412-1,931753.812043827,1957498.0968799,126.7267224895049,37.61438846272118
김포시,대우,북변동,688,1995-03-30,13,6,543,Y,경기도 김포시 북변동 688,929695.93173735,1959209.67293189,126.70324266355584,37.62965913373535
김포시,대원 칸타빌,장기동,1762,2009-03-27,4,5,79,N,경기도 김포시 장기동 1762,926001.978841446,1960232.00795022,126.66127947577432,37.63858281543369
김포시,대지연립,감정동,456-1,1985-09-23,3,2,30,N,경기도 김포시 감정동 456-1,929582.083276255,1958992.68360478,126.70197344288292,37.627694777839956
김포시,동광연립,통진읍,445-1,1985-10-15,3,2,36,N,경기도 김포시 통진읍 445-1,,,,
김포시,동변마을1차,북변동,902,2006-02-24,9,3,143,N,경기도 김포시 북변동 902,930217.146994642,1958480.95838381,126.70921867374129,37.62313125041804
김포시,동변마을2차,북변동,904,2009-06-25,9,6,133,N,경기도 김포시 북변동 904,930145.494947793,1958560.20947338,126.70839920723147,37.62384006591048
김포시,동변연립,북변동,438-3,1981-06-08,3,4,46,N,경기도 김포시 북변동 438-3,930362.20174119,1958495.39584902,126.71086091969842,37.62327237389936
김포시,동성연립,하성면,산35-3,1984-11-06,2,2,20,N,경기도 김포시 하성면 산35-3,923905.122484184,1969084.97285813,126.63659117051208,37.718197659278104
김포시,등촌마을,고촌읍,1055,2000-12-15,15,4,183,Y,경기도 김포시 고촌읍 1055,,,,
김포시,디아이빌,고촌읍,577-15,2012-06-20,6,4,80,N,경기도 김포시 고촌읍 577-15,935487.239411549,1955861.85624744,126.76916592157957,37.5999110153283
김포시,디아이빌,고촌읍,577-21,2014-04-30,6,4,99,N,경기도 김포시 고촌읍 577-21,935549.556406719,1955892.22424705,126.76986915351326,37.60018908468017
김포시,레이크에일린의 뜰,마산동,616-3,2017-09-15,18,10,578,Y,경기도 김포시 마산동 616-3,923984.7363653,1960792.64034002,126.63835929584063,37.64347072752558
김포시,리버에일린의뜰,운양동,1305-1,2017-11-21,21,7,439,Y,경기도 김포시 운양동 1305-1,927021.171014068,1961897.94761427,126.67266372934995,37.653678651171596
김포시,매수리마을 10단지,통진읍,498,2010-11-26,15,9,699,N,경기도 김포시 통진읍 498,,,,
김포시,매수리마을 9단지,통진읍,512,2010-01-11,15,11,951,N,경기도 김포시 통진읍 512,,,,
김포시,메트로타워 예미지,구래동,1821192,2020-12-17,46,6,701,Y,경기도 김포시 구래동 1821192,,,,
김포시,모담마을 한강 화성파크드림,운양동,1325-7,2012-06-25,28,8,648,Y,경기도 김포시 운양동 1325-7,928757.779867783,1960927.18683126,126.69244400512284,37.645066057746625
김포시,모아엘가 2차,구래동,1821984,2017-11-23,22,6,562,Y,경기도 김포시 구래동 1821984,,,,
김포시,무림연립,고촌읍,593-2,1985-09-27,3,1,30,N,경기도 김포시 고촌읍 593-2,,,,
김포시,반도유보라 3차,마산동,640-5,2017-02-13,12,14,662,Y,경기도 김포시 마산동 640-5,924354.011222157,1960233.3101488,126.64260257268009,37.63846029359459
김포시,반도유보라 6차,운양동,1340-7,2017-10-25,12,4,199,Y,경기도 김포시 운양동 1340-7,928016.713589248,1961719.75329475,126.68396637667763,37.65215128313453
