시군명,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부,addr,x,y,lng,lat
과천시,과천센트레빌,갈현동,639,2020-08-12,15,3,100,N,경기도 과천시 갈현동 639,954704.035303102,1935965.34657171,126.98808036013205,37.42172532007698
과천시,과천위버필드,원문동,2,2021-01-28,35,21,2129,Y,경기도 과천시 원문동 2,954922.947859759,1936116.27912845,126.99054512910078,37.42309642726095
과천시,과천제이드자이,갈현동,254-1,2021-12-24,25,7,647,Y,경기도 과천시 갈현동 254-1,954070.867734767,1934237.55038089,126.98103224076573,37.40612075127442
과천시,과천타워,별양동,1,1997-07-01,10,1,42,N,경기도 과천시 별양동 1,954994.914157712,1936594.26114718,126.99132930729138,37.427408184574915
과천시,과천푸르지오써밋,중앙동,37,2020-03-31,28,32,1571,Y,경기도 과천시 중앙동 37,955121.023986993,1937032.15008093,126.99272798257134,37.43136118636375
과천시,과천푸르지오어울림라비엔오,갈현동,25,2021-12-10,35,7,679,Y,경기도 과천시 갈현동 25,954327.893553533,1935031.02546843,126.98388728525066,37.41328540144187
과천시,래미안센트럴스위트(7-2단지),별양동,3,2018-07-25,25,9,543,Y,경기도 과천시 별양동 3,955551.247418154,1937080.87222067,126.99758773850077,37.43182110768067
과천시,래미안슈르,원문동,4,2008-08-12,25,48,3143,Y,경기도 과천시 원문동 4,955057.669639085,1935869.44958332,126.99208270957551,37.42087819799806
과천시,래미안에코팰리스,중앙동,71,2007-04-06,15,12,659,Y,경기도 과천시 중앙동 71,955101.079517299,1937332.51097649,126.99248427739944,37.434067496163536
과천시,센트럴파크 푸르지오써밋(7-1단지),부림동,49,2020-12-22,32,32,1317,Y,경기도 과천시 부림동 49,955729.340066482,1937043.13998447,126.99960294541407,37.43148954953939
과천시,주공 10단지,중앙동,67,1984-07-10,5,26,632,Y,경기도 과천시 중앙동 67,955289.188643335,1937340.73845244,126.99460999769794,37.434150763899645
과천시,주공 4단지,별양동,7,1983-05-10,15,10,1110,Y,경기도 과천시 별양동 7,955219.539467625,1936486.83689348,126.9938745658511,37.42645082130979
과천시,주공 5단지,별양동,6,1983-10-28,15,7,800,Y,경기도 과천시 별양동 6,955398.550017531,1936806.33494061,126.99587842803243,37.42933923871046
과천시,주공 8단지,부림동,41,1983-08-20,15,12,1400,Y,경기도 과천시 부림동 41,955705.859834546,1937480.2522491,126.99931131104289,37.435428303683075
과천시,주공 9단지,부림동,41,1982-12-20,5,17,720,Y,경기도 과천시 부림동 41,955705.859834546,1937480.2522491,126.99931131104289,37.435428303683075
광명시,e편한세상 센트레빌,하안동,864,2010-01-14,33,27,2815,Y,경기도 광명시 하안동 864,943996.410157786,1941129.73066703,126.86668028129186,37.46768699975411
광명시,개운고층,소하동,889-1,1990-07-19,15,1,165,Y,경기도 광명시 소하동 889-1,944922.180655621,1937785.25534764,126.8773987547593,37.43759820161842
광명시,개운저층,소하동,889-2,1988-08-20,5,3,90,N,경기도 광명시 소하동 889-2,944975.964928446,1937812.26577883,126.87800468602495,37.437844853628846
광명시,골드클래스,소하동,1325,2016-09-07,4,7,84,N,경기도 광명시 소하동 1325,945962.196825201,1938650.07070532,126.88909114159844,37.445454330978514
광명시,광명상우2차,광명동,734,1995-09-11,19,1,169,Y,경기도 광명시 광명동 734,942860.638476688,1941060.252203,126.85384247396259,37.46699124682452
