시군명,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부,addr,x,y,lng,lat
하남시,LH위례포엘리움,학암동,645,2021-09-14,25,6,508,Y,경기도 하남시 학암동 645,,,,
하남시,가화만사성,덕풍동,519-4,2004-11-29,10,1,72,N,경기도 하남시 덕풍동 519-4,973573.262038553,1948341.82748004,127.20088605559945,37.53401279436164
하남시,감일 센트레빌,감이동,535,2020-03-12,25,6,589,Y,경기도 하남시 감이동 535,,,,
하남시,감일 스윗시티2단지,감일동,519,2021-05-14,25,10,684,N,경기도 하남시 감일동 519,,,,
하남시,감일스윗시티10단지,감이동,454,2020-01-15,28,9,753,N,경기도 하남시 감이동 454,,,,
하남시,감일스윗시티1단지,감일동,534,2020-03-12,27,7,669,N,경기도 하남시 감일동 534,,,,
하남시,감일스윗시티3단지(하남감일B3블럭),감이동,446,2021-10-14,21,8,578,Y,경기도 하남시 감이동 446,,,,
하남시,감일스윗시티8단지,감일동,556,2020-09-02,22,6,1088,N,경기도 하남시 감일동 556,,,,
하남시,감일에코앤e편한세상아파트,감이동,501,2021-09-07,29,6,866,Y,경기도 하남시 감이동 501,,,,
하남시,감일파크(하남감일B4블럭),감이동,448,2021-10-14,29,7,595,Y,경기도 하남시 감이동 448,,,,
하남시,감일포엠포레,감일동,533,2021-01-04,25,8,617,N,경기도 하남시 감일동 533,,,,
하남시,꿈동산신안,창우동(신장2동),521,1994-12-21,18,21,1704,Y,경기도 하남시 창우동(신장2동) 521,975646.638608746,1948660.17741295,127.22434297547863,37.5369393514206
하남시,대동피렌체,덕풍동(덕풍2동),372-2,2005-01-12,15,1,232,Y,경기도 하남시 덕풍동(덕풍2동) 372-2,973643.009096257,1948948.65607772,127.20165369511766,37.53948443349054
하남시,대명강변타운,신장동(신장2동),569외1,2007-08-31,25,19,1369,Y,경기도 하남시 신장동(신장2동) 569외1,975058.563254342997,1949530.10625623004,127.21765702532625,37.544764724927724
