시군명,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부,addr,x,y,lng,lat
파주시,가람마을10단지 동양엔파트월드메르디앙,운정1동,1356,2010-07-29,25,13,972,Y,경기도 파주시 운정1동 1356,934188.594267812,1969855.3011467,126.75319284278496,37.725937037481444
파주시,가람마을11단지 동문굿모닝힐,운정1동,667,2010-06-30,25,12,958,Y,경기도 파주시 운정1동 667,933628.384300483,1971128.92395054,126.74671997999307,37.73737516150935
파주시,가람마을14단지,와동동,1475,2020-06-06,25,2,580,N,경기도 파주시 와동동 1475,935504.850561818,1970317.27641455,126.76808719808211,37.73019429755844
파주시,가람마을1단지 벽산한라,운정1동,1308,2010-08-23,25,14,1145,Y,경기도 파주시 운정1동 1308,934246.673737565,1970624.61503944,126.75378228475908,37.732874689790975
파주시,가람마을2단지 휴먼시아,운정1동,1311,2009-09-04,23,13,1231,N,경기도 파주시 운정1동 1311,934281.051735123,1970435.76119791,126.75418947413796,37.731175104888806
파주시,가람마을3단지 동문아파트,운정1동,240,2001-09-15,15,17,902,Y,경기도 파주시 운정1동 240,934636.390121576,1970511.77189405,126.75821488137886,37.73188559832342
파주시,가람마을4단지 한양수자인,운정1동,1321,2011-12-19,18,14,780,Y,경기도 파주시 운정1동 1321,934666.649159794,1970681.16114216,126.75854302891449,37.73341438831562
파주시,가람마을5단지,운정1동,1332,2014-05-21,30,12,821,N,경기도 파주시 운정1동 1332,935028.287196689,1970866.03280477,126.76263035950387,37.73510629762387
파주시,가람마을6단지 휴먼시아,운정1동,1331,2011-07-28,25,13,1220,N,경기도 파주시 운정1동 1331,934898.06446315,1970764.74552127,126.76116163474425,37.734184186584976
파주시,가람마을7단지 한라비발디,운정1동,1338,2012-11-29,25,13,978,Y,경기도 파주시 운정1동 1338,935122.407387551,1970574.43083807,126.76372448271725,37.73248489338179
