시군명,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부,addr,x,y,lng,lat
시흥시,LH가온수플,조남동,663,2018-07-03,25,10,678,N,경기도 시흥시 조남동 663,942863.200408787,1931018.66333105,126.85464866603871,37.376484431880456
시흥시,LH네이처뷰,장현동,170-2,2019-09-09,25,6,620,N,경기도 시흥시 장현동 170-2,937896.12810012,1931732.41392525,126.79849011922903,37.38259816067653
시흥시,LH네이처포레,은행동,632,2018-07-16,29,14,1594,N,경기도 시흥시 은행동 632,938647.914229085,1937950.14102906,126.80646506297006,37.438689483376294
시흥시,LH네이처하임,조남동,720,2016-07-19,24,8,592,Y,경기도 시흥시 조남동 720,943753.023193479,1931405.64854684,126.86466908475305,37.38002685836683
시흥시,LH리벤티움,조남동,678,2017-07-04,21,12,944,N,경기도 시흥시 조남동 678,942958.242729263,1930742.445851,126.85574338706589,37.374000657400764
시흥시,LH은계센트럴타운,은행동,619,2017-11-01,20,11,1025,Y,경기도 시흥시 은행동 619,938190.910975346,1938092.6821934,126.80128742143833,37.4399437954272
시흥시,LH포레하임,조남동,680,2016-07-01,25,5,345,N,경기도 시흥시 조남동 680,942764.86796834,1930461.8630263,126.85358114976256,37.37145976697442
시흥시,SK뷰(배곧),배곧동,2483,2015-07-28,29,17,1442,Y,경기도 시흥시 배곧동 2483,,,,
시흥시,e편한세상 시흥 센텀하임,대야동,692,2019-09-27,35,9,659,Y,경기도 시흥시 대야동 692,937412.086858138,1938680.96677397,126.79243399014781,37.4451936718828
시흥시,가야아파트,조남동,171-2,1990-04-14,6,4,189,N,경기도 시흥시 조남동 171-2,943220.166721303,1931968.90008743,126.85860737245751,37.385071115928845
시흥시,건영1차,정왕동,1785-1,1997-08-02,10,21,770,Y,경기도 시흥시 정왕동 1785-1,933171.763241245,1927029.85365467,126.74555339305229,37.33988495265884
시흥시,건영2차,정왕동,1875-5,1997-09-27,10,21,710,Y,경기도 시흥시 정왕동 1875-5,931786.955073047,1929054.18808611,126.7297347175331,37.358029719245444
시흥시,건영3차,정왕동,1871-1,2002-06-19,10,7,210,Y,경기도 시흥시 정왕동 1871-1,931793.282148247,1928405.66453969,126.72986588075962,37.352184995222636
시흥시,건영4차,정왕동,1871-5,2000-12-08,10,6,240,Y,경기도 시흥시 정왕동 1871-5,931890.648146733,1928301.8940027,126.73097470805395,37.351256855081054
시흥시,건영5차,정왕동,1788-1,2002-07-10,10,11,340,Y,경기도 시흥시 정왕동 1788-1,932863.755624025,1927268.70752289,126.74205483200265,37.342015546692565
시흥시,건영7차,정왕동,1867-1,2001-01-31,10,3,140,N,경기도 시흥시 정왕동 1867-1,931294.366771324,1928751.32446198,126.7242009462086,37.35526364183665
시흥시,경남아파트,신천동,943-1,2005-06-14,15,6,369,Y,경기도 시흥시 신천동 943-1,937250.079272115,1937503.68530462,126.79070276056513,37.43457177780905
시흥시,경신아파트,미산동,64,1992-08-29,6,2,186,N,경기도 시흥시 미산동 64,937824.158953904,1935931.54626338,126.79732390653885,37.42044069483194
시흥시,경신아파트,신천동,852-16,1991-01-21,6,2,133,N,경기도 시흥시 신천동 852-16,937016.564564838,1937694.55060799,126.78804710444602,37.43627619171619
시흥시,계룡1차,정왕동,1846,1997-07-18,10,21,620,Y,경기도 시흥시 정왕동 1846,931933.373672612,1927999.54548462,126.73148486329747,37.348534897792106
시흥시,계룡2차,정왕동,15342,1998-04-27,10,20,630,Y,경기도 시흥시 정왕동 15342,,,,
