시군명,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부,addr,x,y,lng,lat
연천군,가람채,전곡읍 은대리,530-9,2009-07-24,14,2,114,N,경기도 연천군 전곡읍 은대리 530-9,961788.545894653,2003815.86902355,127.06457893559526,38.03358566772426
연천군,강민,전곡읍 전곡리,449-18,1997-12-23,9,1,73,N,경기도 연천군 전곡읍 전곡리 449-18,962054.404985472,2003566.74974134,127.06762152922765,38.03135163726757
연천군,내외주택,전곡읍 전곡리,425-1,1981-07-06,3,4,57,N,경기도 연천군 전곡읍 전곡리 425-1,962495.980990149,2003812.5572231,127.07264015195689,38.033585397225586
연천군,대삼,전곡읍 전곡리,392-1,1991-06-19,5,1,40,N,경기도 연천군 전곡읍 전곡리 392-1,962235.760190755,2003729.21588168,127.06967939645392,38.03282346012626
연천군,동원주택,전곡읍 전곡리,415-9,1986-12-24,3,5,78,N,경기도 연천군 전곡읍 전곡리 415-9,962540.22843341,2003698.95940575,127.07315028202731,38.03256341729376
연천군,동화연립,전곡읍 전곡리,318-1,1983-10-12,2,3,30,N,경기도 연천군 전곡읍 전곡리 318-1,962209.650302081,2002518.54194037,127.06944574684887,38.021911047344176
연천군,로하스,연천읍 현가리,498,2014-11-20,15,2,91,N,경기도 연천군 연천읍 현가리 498,962956.079351172,2011828.40422898,127.07746750668859,38.105847538915576
연천군,방림,전곡읍 전곡리,324-43,1991-10-18,5,1,60,N,경기도 연천군 전곡읍 전곡리 324-43,962631.8184753,2002576.65100694,127.07425245388691,38.02245227552897
연천군,백련주택,전곡읍 은대리,513-1,1988-10-11,3,3,54,N,경기도 연천군 전곡읍 은대리 513-1,962045.460540084,2003618.66839149,127.0675168615059,38.03181918414815
연천군,백산주택,전곡읍 전곡리,295-14,1992-05-28,3,1,36,N,경기도 연천군 전곡읍 전곡리 295-14,961941.250992827,2002812.86027458,127.06637225912662,38.02455238571643
연천군,삼진주택,전곡읍 전곡리,326-1,1986-11-21,2,3,36,N,경기도 연천군 전곡읍 전곡리 326-1,962601.072158369,2002890.00761291,127.07388580480458,38.02527516865409
연천군,샤인,전곡읍 전곡리,325-10,2009-09-10,9,1,53,N,경기도 연천군 전곡읍 전곡리 325-10,962630.788963897,2002617.42982498,127.07423859802952,38.02281975688144
연천군,석미모닝파크,전곡읍 전곡리,685,2006-06-02,15,4,171,Y,경기도 연천군 전곡읍 전곡리 685,962460.572124724,2002996.26666043,127.07227945547898,38.02622702768005
연천군,석미모닝파크(3차),전곡읍 전곡리,707,2020-07-02,20,3,257,Y,경기도 연천군 전곡읍 전곡리 707,962697.553939427,2002270.05196654,127.07501733914977,38.01969172449213
연천군,아느칸 빌,청산면 백의리,18264,2006-02-06,5,6,146,N,경기도 연천군 청산면 백의리 18264,,,,
