철도운영기관명,선명,역명,지번주소,도로명주소,환승,x,y,lng,lat
코레일,1호선,가산디지털단지,서울특별시 금천구 가산동 468-4,서울특별시 금천구 벚꽃로 309,y,945373.187084844,1942740.79273499,126.8821292679693,37.482290208291715
코레일,1호선,구로,서울특별시 구로구 구로동 585-3,서울특별시 구로구 구로중앙로 174,y,945340.922821272,1944965.29412694,126.88159906775127,37.502338069008005
코레일,1호선,금정,경기도 군포시 금정동 613 금정역,경기도 군포시 군포로 750(금정동),y,950716.653443351,1930504.44293082,126.94338232493723,37.37230029880159
코레일,1호선,금천구청,서울특별시 금천구 시흥대로63길 91  ,서울특별시 금천구 시흥대로63길 91  ,y,946420.134066467,1939860.89253798,126.89417994281222,37.45639439998842
코레일,1호선,노량진,서울특별시 동작구 노량진동 67-2,서울특별시 동작구 노량진로 151  ,y,950777.519659462,1946243.2516713,126.94301915776431,37.51416256632775
코레일,1호선,도봉산,서울특별시 도봉구 도봉동 301-5,서울특별시 도봉구 도봉로 948,y,959984.580505988,1965585.21729666,127.04614120191503,37.688941441991105
서울교통공사,1호선,동대문,서울특별시 종로구 창신동 492-1 동대문역(1호선),서울특별시 종로구 종로 302,y,956853.91770234,1952585.86632817,127.01140172540552,37.57163449413437
서울교통공사,1호선,동묘앞,서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 종로 359(숭인동),y,957352.867123253,1952781.35475005,127.01704040452744,37.573419726595326
코레일,1호선,부평,인천광역시 부평구 부평동 738-21,인천광역시 부평구 광장로 16,y,931356.36936999,1943704.23465649,126.72351050850092,37.49003816050354
서울교통공사,1호선,서울역,서울특별시 중구 남대문로5가 73-6 서울역(1호선),서울특별시 중구 세종대로 2,y,953414.449990884,1950997.25430912,126.97255465262116,37.55714841502742
코레일,1호선,석계,서울특별시 노원구 월계동 36-4,서울특별시 노원구 화랑로 341,y,961666.599865255,1957407.20140629,127.06564785531049,37.61530344079616
코레일,1호선,소사,경기도 부천시 소사구 소사본동 395,경기도 부천시 소사구 경인로 363,y,937760.054613355,1942812.28916358,126.79601849841819,37.48245293071804
코레일,1호선,수원,경기도 수원시 팔달구 매산로1가 18,경기도 수원시 팔달구 덕영대로 924,y,955684.289274709,1918635.23869932,127.0001948404363,37.26556678766838
서울교통공사,1호선,시청,서울특별시 중구 정동 5-5 시청역(1호선),서울특별시 중구 세종대로 101,y,953807.06779989,1951874.68715951,126.97694444717125,37.5650766638023
코레일,1호선,신길,서울특별시 영등포구 신길동 41-1,서울특별시 영등포구 영등포로 327  ,y,948499.279246835,1946572.34255531,126.91721767753586,37.51700434538964
코레일,1호선,신도림,서울시 구로구 신도림동 460-26,서울특별시 구로구 새말로 117-21  ,y,946182.073018122,1945676.3845614,126.89106310563713,37.508796666695616
서울교통공사,1호선,신설동,서울특별시 동대문구 신설동 76-5 신설동역(1호선),서울특별시 동대문구 왕산로 1,y,958064.738027611,1952921.85848199,127.0250937243078,37.574718825724084
코레일,1호선,온수,서울시 구로구 온수동51-7,서울시 구로구 부일로 872,y,940254.760647953,1943906.53266332,126.82414485298331,37.4924801628735
코레일,1호선,용산,서울 용산구 한강로3가 40-999,서울 용산구 한강대로23길 55,y,952716.894107349,1947970.44707572,126.96485222663301,37.529831633604346
코레일,1호선,인천,인천광역시 중구,인천광역시 중구 제물량로 269,y,921921.501564582,1942203.11543979,126.61695443304998,37.47575951936468
서울교통공사,1호선,종로3가,서울특별시 종로구 종로3가 10-5 종로3가역(1호선),서울특별시 종로구 종로 129,y,955141.710265825,1952461.03337597,126.99202053760133,37.57042750999806
코레일,1호선,주안,인천광역시 남구 주안동 125,인천광역시 남구 주안로 95-19  ,y,927534.810340551,1940960.07728024,126.68055549688879,37.46501366325528
코레일,1호선,창동,서울특별시 도봉구 마들로 11길 77(창동역 1호선),서울특별시 도봉구 마들로 11길 77(창동역 1호선),y,960101.45911792,1961620.1027348,127.0476837813256,37.65320847076506
서울교통공사,1호선,청량리(서울시립대입구),서울특별시 동대문구 전농동 620-69 청량리역(1호선),서울특별시 동대문구 왕산로 205,y,959836.203543836,1953523.21082659,127.04512156136771,37.58021797200467
코레일,1호선,회기,서울특별시 동대문구 휘경동 317-101,서울특별시 동대문구 회기로 196,y,960984.779986651,1954575.66869783,127.05807342447459,37.589753465908636
코레일,1호선,회룡,경기도 의정부시 호원동 50-5(회룡역),경기도 의정부시 평화로 363(회룡역),y,960107.060176787,1969475.26289432,127.04731713448244,37.72400802812363
서울교통공사,2호선,강남,서울특별시 강남구 역삼동 858 강남역(2호선),서울특별시 강남구 강남대로 396,y,958307.262586959,1944427.77368496,127.02832263883475,37.49817007074474
서울교통공사,2호선,건대입구,서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),서울특별시 광진구 아차산로 243(화양동),y,961938.804402788,1949098.10728428,127.06916383673617,37.54042246292403
서울교통공사,2호선,교대(법원·검찰청),서울특별시 서초구 서초동 1748-4 교대역(2호선),서울특별시 서초구 서초대로 294(서초동),y,957023.889636057,1943840.53226575,127.01383839646901,37.49281819747957
서울교통공사,2호선,까치산,서울특별시 강서구 화곡동 662-5,서울특별시 강서구 강서로 54 ,y,942271.700002895,1948272.2473336,126.84661672815282,37.5319569345109
서울교통공사,2호선,당산,서울특별시 영등포구 당산동 6가 323-1 당산역(2호선),서울특별시 영등포구 당산로 229(당산동6가),y,947250.955580388,1948603.87296417,126.90294641966452,37.53524426342218
서울교통공사,2호선,대림(구로구청),서울특별시 구로구 구로동 1204 대림역(2호선),서울특별시 구로구 도림천로 351(구로동),y,946514.884119812,1943957.92072072,126.89495358844322,37.49332722747466
서울교통공사,2호선,동대문역사문화공원,서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),서울특별시 중구 을지로 279(을지로7가),y,956649.981623726,1951916.22430874,127.00913198480256,37.56558927594937
서울교통공사,2호선,사당,서울특별시 동작구 사당동 1129 사당역(2호선),서울특별시 동작구 남부순환로 2089(사당동),y,954147.110332293,1942048.04763793,126.98140807775162,37.47652356068336
서울교통공사,2호선,선릉,서울특별시 강남구 삼성동 172-66 선릉역(2호선),서울특별시 강남구 테헤란로 340(삼성동),y,960133.625327485,1945121.56903353,127.04894638960354,37.50450420477203
서울교통공사,2호선,성수,서울특별시 성동구 성수동2가 300-1 성수역(2호선),서울특별시 성동구 아차산로 100(성수동2가),y,960785.211383752,1949556.48903142,127.05608152340204,37.544505646007586
서울교통공사,2호선,시청,서울특별시 중구 서소문동 90-1 시청역(2호선),서울특별시 중구 서소문로 127(서소문동),y,953704.38932653,1951727.050163,126.97579115903729,37.563740826873435
서울교통공사,2호선,신당,서울특별시 중구 신당동 99 신당역(2호선),서울특별시 중구 퇴계로 431-1(신당동),y,957568.716037483,1951916.96476085,127.01953476688652,37.56563874468468
서울교통공사,2호선,신도림,서울특별시 구로구 신도림동 460-26 신도림역(2호선),서울특별시 구로구 새말로  117-21(신도림동),y,946182.073018122,1945676.3845614,126.89106310563713,37.508796666695616
서울교통공사,2호선,신설동,서울특별시 동대문구 신설동 76-5 신설동역(2호선),서울특별시 동대문구 왕산로  1(신설동),y,958064.738027611,1952921.85848199,127.0250937243078,37.574718825724084
