정류장번호,정류장명,위도,경도,정보수집일시,모바일단축번호,도시코드,도시명,관리도시명
GGB176500010,광주유스퀘어(종합터미널),35.1605167,126.8812167,2.02E+13,0,31250,광주시,경기도
GGB179501240,광주비아정류소,35.2254,126.8263167,2.02E+13,0,31250,광주시,경기도
GGB200000001,하광교느티나무,37.3176,127.0169,2.02E+13,1165,31010,수원시,경기도
GGB200000002,하광교,37.3159333,127.0191667,2.02E+13,1173,31010,수원시,경기도
GGB200000003,비석거리입구,37.3132333,127.0210167,2.02E+13,1180,31010,수원시,경기도
GGB200000004,문암골,37.3090833,127.0277167,2.02E+13,1196,31010,수원시,경기도
GGB200000005,광교산입구.경기대수원캠퍼스,37.3014333,127.0315167,2.02E+13,1205,31010,수원시,경기도
GGB200000006,광교공원.경기대수원캠퍼스입구.연무시장,37.2999833,127.0294333,2.02E+13,1197,31010,수원시,경기도
GGB200000007,광교산입구.경기대수원캠퍼스,37.3014333,127.03125,2.02E+13,1204,31010,수원시,경기도
GGB200000008,문암골,37.3089167,127.0276667,2.02E+13,1195,31010,수원시,경기도
GGB200000009,비석거리입구,37.3132167,127.0208833,2.02E+13,1179,31010,수원시,경기도
GGB200000010,하광교,37.3155167,127.0191333,2.02E+13,1172,31010,수원시,경기도
GGB200000011,하광교느티나무,37.3177667,127.01665,2.02E+13,1164,31010,수원시,경기도
GGB200000012,용머리앞,37.3213333,127.01545,2.02E+13,1159,31010,수원시,경기도
GGB200000013,용머리다리,37.3234333,127.0154333,2.02E+13,1156,31010,수원시,경기도
GGB200000014,상광교신다리.광교로컬푸드직매장,37.3273167,127.0147667,2.02E+13,1149,31010,수원시,경기도
GGB200000015,상광교마을회관,37.3295167,127.0147,2.02E+13,1148,31010,수원시,경기도
GGB200000016,새마을주택,37.3321833,127.0153,2.02E+13,1155,31010,수원시,경기도
GGB200000017,광교산,37.3342667,127.0170667,2.02E+13,1166,31010,수원시,경기도
GGB200000018,조원뉴타운2단지,37.3021167,127.0203333,2.02E+13,1421,31010,수원시,경기도
GGB200000019,조원뉴타운2단지,37.3023167,127.0203333,2.02E+13,1422,31010,수원시,경기도
GGB200000020,중부경찰서,37.2971167,126.9969833,2.02E+13,1101,31010,수원시,경기도
GGB200000021,풍림아파트입구,37.2978667,126.9949667,2.02E+13,1095,31010,수원시,경기도
GGB200000022,정자동성당,37.3100833,126.9862333,2.02E+13,1058,31010,수원시,경기도
GGB200000024,한국건강검진협회.수원종합운동장,37.2972167,127.0133833,2.02E+13,1024,31010,수원시,경기도
GGB200000025,율전초교,37.30015,126.9691167,2.02E+13,1012,31010,수원시,경기도
GGB200000026,율전동,37.3024,126.9698,2.02E+13,1009,31010,수원시,경기도
GGB200000027,율전초교,37.2999667,126.9691667,2.02E+13,1006,31010,수원시,경기도
GGB200000028,신일아파트,37.3001667,126.9672167,2.02E+13,1004,31010,수원시,경기도
GGB200000029,동문굿모닝힐.율전이안아파트,37.2980833,126.9668667,2.02E+13,1005,31010,수원시,경기도
GGB200000030,성균관대역동문굿모닝힐아파트,37.2988667,126.9652667,2.02E+13,1018,31010,수원시,경기도
GGB200000031,율전동,37.3023,126.9696333,2.02E+13,1008,31010,수원시,경기도
GGB200000033,수원종합운동장.한국건강검진협회,37.2973667,127.0132333,2.02E+13,1023,31010,수원시,경기도
GGB200000036,풍림아파트입구,37.2979,126.9952167,2.02E+13,1097,31010,수원시,경기도
GGB200000037,KT수원지사.국민연금북수원지사,37.2926667,127.0115333,2.02E+13,1135,31010,수원시,경기도
GGB200000038,정자사거리,37.2909833,127.00285,2.02E+13,1119,31010,수원시,경기도
GGB200000039,정자2동주민센터.수성고등학교,37.2939833,127.0005,2.02E+13,1112,31010,수원시,경기도
GGB200000040,도체육회관.대림e-편한세상,37.2960833,126.99885,2.02E+13,1108,31010,수원시,경기도
GGB200000041,이목동.장안STX칸,37.3155667,126.98395,2.02E+13,1049,31010,수원시,경기도
GGB200000042,이목동.장안힐스테이트,37.314,126.9853,2.02E+13,1206,31010,수원시,경기도
GGB200000043,도체육회관.대림e-편한세상,37.2963833,126.9989,2.02E+13,1107,31010,수원시,경기도
GGB200000044,정자2동주민센터,37.29455,127.0003333,2.02E+13,1111,31010,수원시,경기도
GGB200000045,정자사거리.수성고등학교,37.2921,127.00225,2.02E+13,1118,31010,수원시,경기도
GGB200000047,조원뉴타운,37.3045,127.0181833,2.02E+13,1170,31010,수원시,경기도
GGB200000049,조원1동,37.3022667,127.0142667,2.02E+13,1147,31010,수원시,경기도
GGB200000051,조원시장입구,37.2992167,127.0179667,2.02E+13,1169,31010,수원시,경기도
GGB200000052,벽산아파트,37.2970667,127.0204833,2.02E+13,1177,31010,수원시,경기도
GGB200000053,수성중학교.영화동행정복지센터,37.2939167,127.0134333,2.02E+13,1144,31010,수원시,경기도
GGB200000054,수성중학교.영화동행정복지센터,37.2941667,127.0132167,2.02E+13,1141,31010,수원시,경기도
GGB200000055,벽산아파트,37.2966333,127.02015,2.02E+13,1175,31010,수원시,경기도
GGB200000056,조원시장입구,37.2994833,127.0174833,2.02E+13,1168,31010,수원시,경기도
GGB200000058,조원동,37.30215,127.0142,2.02E+13,1146,31010,수원시,경기도
GGB200000059,조원2동주민센터,37.3046333,127.0120833,2.02E+13,1137,31010,수원시,경기도
GGB200000063,수성중사거리,37.2927167,127.0098833,2.02E+13,1133,31010,수원시,경기도
GGB200000064,상공회의소,37.2910167,127.0049,2.02E+13,1122,31010,수원시,경기도
GGB200000065,상공회의소.수성고교,37.29165,127.0057667,2.02E+13,1124,31010,수원시,경기도
GGB200000066,수성중사거리,37.2930167,127.00975,2.02E+13,1132,31010,수원시,경기도
GGB200000068,율전중학교,37.3010333,126.9658333,2.02E+13,1002,31010,수원시,경기도
GGB200000069,율전성당.성균관대역,37.30135,126.97255,2.02E+13,1017,31010,수원시,경기도
GGB200000070,체육고교.신안아파트,37.30305,126.9755,2.02E+13,1025,31010,수원시,경기도
GGB200000071,신명아파트,37.3022833,126.98045,2.02E+13,1030,31010,수원시,경기도
GGB200000073,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도여성가족재단,37.31245,126.9890333,2.02E+13,1071,31010,수원시,경기도
GGB200000074,지지대교차로,37.3187667,126.9884,2.02E+13,1220,31010,수원시,경기도
GGB200000075,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도여성가족재단,37.3115667,126.9903167,2.02E+13,1074,31010,수원시,경기도
GGB200000077,한국가스안전공사.택시공제조합,37.3081333,126.9974333,2.02E+13,1102,31010,수원시,경기도
GGB200000078,수일중학교,37.3070667,126.99985,2.02E+13,1109,31010,수원시,경기도
