철도운영기관명,선명,역명,지번주소,도로명주소
서울교통공사,8호선,가락시장,서울특별시 송파구 가락동 184-23 가락시장역(8호선),서울특별시 송파구 송파대로 257(가락동)
서울교통공사,8호선,강동구청,서울특별시 강동구 성내동 319 강동구청역(8호선),서울특별시 강동구 올림픽로 550(성내동)
서울교통공사,8호선,남위례,경기도 성남시 수정구 복정동 57 남위례역(8호선),경기도 성남시 수정구 공원로 601(복정동)
서울교통공사,8호선,남한산성입구(성남법원·검찰청),경기도 성남시 수정구 단대동 96 남한산성입구역(8호선),경기도 성남시 수정구 산성대로 445(단대동)
서울교통공사,8호선,단대오거리,경기도 성남시 수정구 신흥동 2467 단대오거리역(8호선),경기도 성남시 수정구 산성대로 365(신흥동)
서울교통공사,8호선,모란,경기도 성남시 수정구 수진동 4518 모란역(8호선),경기도 성남시 수정구 산성대로 100(수진동)
서울교통공사,8호선,몽촌토성(평화의문),서울특별시 송파구 신천동 19 몽촌토성역(8호선),서울특별시 송파구 올림픽로 383(신천동)
서울교통공사,8호선,문정,서울특별시 송파구 문정동 119-4 문정역(8호선),서울특별시 송파구 송파대로 179(문정동)
서울교통공사,8호선,복정,서울특별시 송파구 장지동 596-21 복정역(8호선),서울특별시 송파구 송파대로 6(장지동)
서울교통공사,8호선,산성,경기도 성남시 수정구 신흥동 7 산성역(8호선),경기도 성남시 수정구 수정로 365(신흥동)
서울교통공사,8호선,석촌,서울특별시 송파구 석촌동 209 석촌역(8호선),서울특별시 송파구 송파대로 439(석촌동)
서울교통공사,8호선,송파,서울특별시 송파구 가락동 459-4 송파역(8호선),서울특별시 송파구 송파대로 354(가락동)
서울교통공사,8호선,수진,경기도 성남시 수정구 수진동 2205-1 수진역(8호선),경기도 성남시 수정구 산성대로 200(수진동)
서울교통공사,8호선,신흥,경기도 성남시 수정구 신흥동 2467 신흥역(8호선),경기도 성남시 수정구 산성대로 280(신흥동)
서울교통공사,8호선,암사,서울특별시 강동구 암사동 501 암사역(8호선),서울특별시 강동구 올림픽로 776(암사동)
서울교통공사,8호선,잠실(송파구청),서울특별시 송파구 신천동 7-4 잠실역(8호선),서울특별시 송파구 올림픽로 305(신천동)
서울교통공사,8호선,장지,서울특별시 송파구 장지동 201-5 장지역(8호선),서울특별시 송파구 송파대로 82(장지동)
서울교통공사,8호선,천호(풍납토성),서울특별시 강동구 천호동 455 천호역(8호선),서울특별시 강동구 천호대로 997(천호동)
