철도운영기관명,선명,역명,지번주소,도로명주소
공항철도주식회사,공항철도,검암,인천광역시 서구 검암동 414-204,인천광역시 서구 검바위로 26 (검암동) 공항철도 검암역
공항철도주식회사,공항철도,계양,인천광역시 계양구 귤현동 451-264,인천광역시 계양구 다남로 24 (귤현동) 공항철도 계양역
공항철도주식회사,공항철도,공덕,서울특별시 마포구 도화동 25-13,서울특별시 마포구 마포대로  92(도화동) 공항철도 공덕역
공항철도주식회사,공항철도,공항화물청사,인천광역시 중구 운서동 2844-7,인천광역시 중구 공항동로135번길 86 (운서동) 공항화물청사역
공항철도주식회사,공항철도,김포공항,서울특별시 강서구 방화동 886,서울특별시 강서구 하늘길  77(방화동) 공항철도 김포공항역
공항철도주식회사,공항철도,디지털미디어시티,서울특별시 마포구 상암동 1140,서울특별시 마포구 성암로  184(상암동) 공항철도 디지털미디어시티역
공항철도주식회사,공항철도,마곡나루,서울특별시 강서구 마곡동 367-6,서울특별시 강서구 마곡중앙로  135(마곡동)
공항철도주식회사,공항철도,서울역,서울특별시 용산구 동자동 43-227,서울특별시 용산구 청파로 378 (동자동) 공항철도 서울역
공항철도주식회사,공항철도,영종,인천광역시 서구 경서동 519-2,인천광역시 중구 백운로414번길 75 (운복동) 영종역
공항철도주식회사,공항철도,운서,인천광역시 중구 운서동 1427-27,인천광역시 중구 흰바위로59번길 26 (운서동) 운서역
공항철도주식회사,공항철도,인천공항1터미널,인천광역시 중구 운서동 2851,인천광역시 중구 공항로 271 (운서동) 인천공항1터미널역
공항철도주식회사,공항철도,인천공항2터미널,인천광역시 중구 운서동 2868,인천광역시 중구 공항로 272 인천국제공항2터미널역
공항철도주식회사,공항철도,청라국제도시,인천광역시 서구 경서동 519-2,인천광역시 서구 에코로 151 (경서동) 청라국제도시역
공항철도주식회사,공항철도,홍대입구,서울특별시 마포구 동교동 190-1,서울특별시 마포구 양화로  188(동교동) 공항철도 홍대입구역
