철도운영기관명,선명,역명,지번주소,도로명주소,,,,,,
코레일,수인분당,가천대,경기도 성남시 수정구 태평동 7131,경기도 성남시 수정구 성남대로 1332,,,,,,
코레일,수인분당,강남구청,서울 강남구 삼성동 77-94,서울특별시 강남구 학동로 346,,,,,,
코레일,수인분당,개포동,서울시 강남구 개포동 181-2,서울시 강남구 개포로 420,,,,,,
코레일,수인분당,고색,경기도 수원시 권선구 고색동 377-2,경기도 수원시 권선구 매송고색로  690,,,,,,
코레일,수인분당,고잔,경기도 안산시 단원구 고잔동 453-67,경기도 안산시 단원구 중앙대로 784,,,,,,
코레일,수인분당,구룡,서울특별시 강남구 개포동 175-3,서울특별시 강남구 개포로  403,,,,,,
코레일,수인분당,구성,경기도 용인시 기흥구 마북동460-3,경기도 용인시 기흥구 용구대로 2403(마북동460-3),,,,,,
코레일,수인분당,기흥(백남준아트센터),경기도 용인시 기흥구 구갈동 227-25,경기도 용인시 기흥구 중부대로 460,,,,,,
코레일,수인분당,남동인더스파크,인천광역시 남동구 고잔동 970-8,인천광역시 남동구 은청로 17,,,,,,
코레일,수인분당,달월,경기도 시흥시 월곶동 662-3,경기도 시흥시 서해안로 736번길 55,,,,,,
코레일,수인분당,대모산입구,서울시 강남구 일원동 700-1,서울시 강남구 개포로 522,,,,,,
코레일,수인분당,도곡,서울특별시 강남구 도곡동 467-5,서울특별시 강남구 남부순환로 2814  ,,,,,,
코레일,수인분당,망포,경기도 수원시 영통구 영통동 1069,경기도 수원시 영통구 덕영대로  1520,,,,,,
코레일,수인분당,매교,경기도 수원시 팔달구 매교동 283,경기도 수원시 팔달구 효원로 126,,,,,,
코레일,수인분당,매탄권선,경기도 수원시 매탄동 687-4,경기도 수원시 영통구 권선로 841,,,,,,
코레일,수인분당,모란,경기도 성남시 중원구 성남동 1575,경기도 성남시 중원구 성남대로  1147  ,,,,,,
코레일,수인분당,미금(분당서울대병원),경기도 성남시 분당구 금곡동 222,경기도 성남시 분당구 성남대로 156,,,,,,
코레일,수인분당,보정,경기도 용인시 기흥구 보정동 1285,경기도 용인시 기흥구 용구대로 2560,,,,,,
코레일,수인분당,복정(동서울대학),서울특별시 송파구 장지동 596-21,서울특별시 송파구 송파대로 6,,,,,,
