철도운영기관명,선명,역명,지번주소,도로명주소
국가철도,신분당선,강남,서울특별시 강남구 역삼동 858,서울특별시 강남구 강남대로 396
국가철도,신분당선,양재(서초구청),서울특별시 서초구 서초동 1366-9,서울특별시 서초구 남부순환로 2585
국가철도,신분당선,양재시민의숲(매헌),서울특별시 서초구 양재동 233-2,서울특별시 서초구 매헌로 116
국가철도,신분당선,청계산입구,서울특별시 서초구 신원동 270-25,서울특별시 서초구 청계산로 179
국가철도,신분당선,판교(판교테크노밸리),경기도 성남시 분당구 백현동 19-2,경기도 성남시 분당구 판교역로 160
국가철도,신분당선,정자,경기도 성남시 분당구 정자동 95-1,경기도 성남시 분당구 성남대로 333
국가철도,신분당선,미금(분당서울대병원),경기도 성남시 분당구 금곡동 222,경기도 성남시 분당구 성남대로 156
국가철도,신분당선,동천,경기도 용인시 수지구 동천동 322-3,경기도 용인시 수지구 신수로 지하 760
국가철도,신분당선,수지구청,경기도 용인시 수지구 풍덕천동 1045,경기도 용인시 수지구 풍덕천로 지하 120
국가철도,신분당선,성복,경기도 용인시 수지구 성복동 720,경기도 용인시 수지구 수지로 지하 134
국가철도,신분당선,상현,경기도 용인시 수지구 상현동 502-10,경기도 용인시 수지구 광교중앙로 지하 312
국가철도,신분당선,광교중앙(아주대),경기도 수원시 영통구 이의동 177-18,경기도 수원시 영통구 도청로 지하 45
국가철도,신분당선,광교(경기대),경기도 수원시 영통구 이의동 742,경기도 수원시 영통구 이의동 742
