철도운영기관명,선명,역명,지번주소,도로명주소
코레일,경강,경기광주,경기도 광주시 역동 176-1,경기도 광주시 광주역로 10(역동)
코레일,경강,곤지암,경기도 광주시 곤지암읍 곤지암리 353-1,경기도 광주시 곤지암천로 333
코레일,경강,부발,경기도 이천시 부발읍 아리미 505-7,경기도 이천시 부발읍 신아로 87
코레일,경강,삼동,경기도 광주시 삼동 225번지,경기도 광주시 순암로 451
코레일,경강,세종대왕릉,경기도 여주시 능서면 신지리 276-2,경기도 여주시 능서면 양화로 877
코레일,경강,신둔도예촌,경기도 이천시 신둔면 남정리 362-2,경기도 이천시 신둔면 남정로 55
코레일,경강,여주,경기도 여주시 교동 383-1번지,경기도 여주시 교동로 80(교동 403-1)
코레일,경강,이매,경기도 성남시 분당구 이매동 127-4,경기도 성남시 분당구 성남대로 738
코레일,경강,이천,경기도 이천시 율현동 435,경기도 이천시 이섭대천로 1063
코레일,경강,초월,경기도 광주시 초월읍 쌍동리213-15,경기도 광주시 초월읍 경충대로 1066
코레일,경강,판교(판교테크노밸리),경기도 성남시 분당구 백현동 19-2,경기도 성남시 분당구 판교역로 160
