철도운영기관명,선명,역명,지번주소,도로명주소,,,,,
국가철도,서해선,소사,, 경기도 부천시 소사동 43-51,,,,,
국가철도,서해선,소새울,,경기도 부천시 소사본동 420-1,,,,,
국가철도,서해선,시흥대야,,경기도 시흥시 대야동 289-21,,,,,
국가철도,서해선,신천,,경기도 시흥시 신천동 768-4,,,,,
국가철도,서해선,신현,,경기도 시흥시 미산동 700-1,,,,,
국가철도,서해선,시흥시청,,경기도 시흥시 광석동 397,,,,,
국가철도,서해선,시흥능곡,,경기도 시흥시 능곡동 717,,,,,
국가철도,서해선,달미,,기도 안산시 단원구 선부동 481,,,,,
국가철도,서해선,선부,,경기도 안산시 단원구 선부동 1074-1,,,,,
국가철도,서해선,초지,,경기도 안산시 단원구 초지동 602-2,,,,,
국가철도,서해선,시우,,경기도 안산시 단원구 원시동 804,,,,,
국가철도,서해선,원시,,경기도 안산시 단원구 원시동 803,,,,,
국가철도,김포골드,구래,,경기도 김포시 김포한강7로 87,,,,,
국가철도,김포골드,마산,,경기도 김포시 김포한강3로 442,,,,,
국가철도,김포골드,장기,,경기도 김포시 김포한강1로 59,,,,,
국가철도,김포골드,운양,,경기도 김포시 김포한강1로 235,,,,,
국가철도,김포골드,걸포북변,,경기도 김포시 김포대로 1040,,,,,
국가철도,김포골드,사우,,경기도 김포시 김포대로 852,,,,,
국가철도,김포골드,풍무,,경기도 김포시 김포대로 710,,,,,
국가철도,김포골드,고촌,,경기도 김포시 고촌읍 김포대로 350,,,,,
국가철도,김포골드,김포공항,,서울특별시 강서구 하늘길 77 ,,,,,
국가철도,신림선,관악산역,,서울특별시 관악구 신림동 211,,,,,
국가철도,신림선,서울대벤처타운역,,서울특별시 관악구 신림동 110-10,,,,,
국가철도,신림선,서원역,,서울특별시 관악구 신림동 808-407,,,,,
국가철도,신림선,신림역,,서울특별시 관악구 남부순환로 1614,,,,,
국가철도,신림선,당곡역,,서울특별시 관악구 봉천동 985,,,,,
국가철도,신림선,보라매병원,,서울특별시 동작구 신대방동 395-61,,,,,
국가철도,신림선,보라매공원역,,서울특별시 동작구 신대방동 722,,,,,
국가철도,신림선,서울지방병무청역,,서울특별시 동작구 대방동 466-41,,,,,
국가철도,신림선,대방역,,서울특별시 영등포구 신길동 1375-1,,,,,
