철도운영기관명,선명,역명,지번주소,도로명주소
용인경량전철주식회사,용인에버라인,강남대,경기도 용인시 기흥구 구갈동 480-42,경기도 용인시 기흥구 중부대로 578
용인경량전철주식회사,용인에버라인,고진,경기도 용인시 처인구 유방동 1029-8,경기도 용인시 처인구 경안천로 141
용인경량전철주식회사,용인에버라인,기흥(백남준아트센터),경기도 용인시 기흥구 구갈동 480-36,경기도 용인시 기흥구 중부대로 460
용인경량전철주식회사,용인에버라인,김량장,경기도 용인시 처인구 김량장동 486-21,경기도 용인시 처인구 금학로 315
용인경량전철주식회사,용인에버라인,동백,경기도 용인시 기흥구 중동 1087,경기도 용인시 기흥구 동백죽전대로 314
용인경량전철주식회사,용인에버라인,둔전,경기도 용인시 처인구 포곡읍 둔전리 406-93,경기도 용인시 처인구 포곡읍 포곡로 70
용인경량전철주식회사,용인에버라인,명지대,경기도 용인시 처인구 역북동 484-10,경기도 용인시 처인구 금학로 241
용인경량전철주식회사,용인에버라인,보평,경기도 용인시 처인구 유방동 276-1,경기도 용인시 처인구 경안천로 313
용인경량전철주식회사,용인에버라인,삼가,경기도 용인시 처인구 삼가동 499-1,경기도 용인시 처인구 중부대로 1098
용인경량전철주식회사,용인에버라인,시청·용인대,경기도 용인시 처인구 삼가동 255-15,경기도 용인시 처인구 중부대로 1199-1
용인경량전철주식회사,용인에버라인,어정,경기도 용인시 기흥구 상하동 620-50,경기도 용인시 기흥구 어정로 128
용인경량전철주식회사,용인에버라인,운동장·송담대,경기도 용인시 처인구 김량장동 144-6,경기도 용인시 처인구 금학로 409
용인경량전철주식회사,용인에버라인,전대·에버랜드,경기도 용인시 처인구 포곡읍 전대리 192-38,경기도 용인시 처인구 포곡읍 에버랜드로 143
용인경량전철주식회사,용인에버라인,지석,경기도 용인시 기흥구 상하동 401-1,경기도 용인시 기흥구 어정로 28
용인경량전철주식회사,용인에버라인,초당,경기도 용인시 기흥구 중동 1090,경기도 용인시 기흥구 동백죽전대로 204
