철도운영기관명,선명,역명,지번주소,도로명주소
의정부경량전철주식회사,의정부경전철,경기도청북부청사,경기도 의정부시 신곡동 815-3,경기도 의정부시 장곡로 615
의정부경량전철주식회사,의정부경전철,경전철의정부,경기도 의정부시 의정부동 691,경기도 의정부시 신흥로 237
의정부경량전철주식회사,의정부경전철,곤제,경기도 의정부시 금오동 3-3,경기도 의정부시 천보로 173
의정부경량전철주식회사,의정부경전철,동오,경기도 의정부시 신곡동 547-15,경기도 의정부시 장곡로 471
의정부경량전철주식회사,의정부경전철,발곡,경기도 의정부시 신곡동 741-3,경기도 의정부시 장곡로 258
의정부경량전철주식회사,의정부경전철,범골,경기도 의정부시 호원동 326-24,경기도 의정부시 신흥로 141
의정부경량전철주식회사,의정부경전철,새말,경기도 의정부시 신곡동 815-1,경기도 의정부시 장곡로 551
의정부경량전철주식회사,의정부경전철,송산,경기도 의정부시 용현동 558,경기도 의정부시 충의로 59
의정부경량전철주식회사,의정부경전철,어룡(용현산업단지),경기도 의정부시 용현동 564,경기도 의정부시 충의로 125
의정부경량전철주식회사,의정부경전철,의정부시청,경기도 의정부시 의정부동 617,경기도 의정부시 의정로 69
의정부경량전철주식회사,의정부경전철,의정부중앙,경기도 의정부시 의정부동 15-10,경기도 의정부시 호국로 1305
의정부경량전철주식회사,의정부경전철,탑석,경기도 의정부시 용현동 558,경기도 의정부시 충의로 20
의정부경량전철주식회사,의정부경전철,회룡,경기도 의정부시 호원동 50-5,경기도 의정부시 평화로 363
의정부경량전철주식회사,의정부경전철,효자,경기도 의정부시 신곡동 773-2,경기도 의정부시 부용로 159-40
의정부경량전철주식회사,의정부경전철,흥선,경기도 의정부시 가능동 343-52,경기도 의정부시 호국로 1197
