철도운영기관명,선명,역명,지번주소,도로명주소
인천교통공사,인천2호선,가재울,인천광역시 서구 가좌동 288,인천광역시 서구 열우물로 252
인천교통공사,인천2호선,가정,인천광역시 서구 가정동 산116-5,인천광역시 서구 봉오대로 234
인천교통공사,인천2호선,가정중앙시장,인천광역시 서구 가정동 529,인천광역시 서구 가남로 400
인천교통공사,인천2호선,검단사거리,인천광역시 서구 왕길동234-1,인천광역시 서구 검단로 473
인천교통공사,인천2호선,검단오류,인천광역시 서구 오류동 450-4,인천광역시 서구 검단로 187
인천교통공사,인천2호선,검바위,인천광역시 서구 검암동 산72-15,인천광역시 서구 서곶로 492
인천교통공사,인천2호선,검암,인천광역시 서구 검암동 370-25,인천광역시 서구 검바위로 4
인천교통공사,인천2호선,남동구청,인천광역시 남동구 만수동 1006번지,인천광역시 남동구 인주대로  889
인천교통공사,인천2호선,독정,인천광역시 서구 백석동 74-1,인천광역시 서구 서곶로 760
인천교통공사,인천2호선,마전,인천광역시 서구 마전동 999-25,인천광역시 서구 완정로 68
인천교통공사,인천2호선,만수,인천광역시 남동구 만수동 993번지,인천광역시 남동구 구월로  367
인천교통공사,인천2호선,모래내시장,인천광역시 남동구 구월동 341-6번지,인천광역시 남동구 구월로  255
인천교통공사,인천2호선,서구청,인천광역시 서구 심곡동 산7-4,인천광역시 서구 서곶로 294
인천교통공사,인천2호선,서부여성회관,인천광역시 서구 석남동 563-4,인천광역시 서구 가석로 169
인천교통공사,인천2호선,석남,인천광역시 서구 석남동 600,인천광역시 서구 가석로 257
인천교통공사,인천2호선,석바위시장,인천광역시 미추홀구 주안동 1597번지,인천광역시 미추홀구 구월로 19
인천교통공사,인천2호선,석천사거리,인천광역시 남동구 구월동 73-3번지,인천광역시 남동구 구월로  181
인천교통공사,인천2호선,시민공원,인천광역시 미추홀구 주안동 189번지,인천광역시 미추홀구 경인로 371
인천교통공사,인천2호선,아시아드경기장,인천광역시 서구 연희동 94-6,인천광역시 서구 서곶로 382
인천교통공사,인천2호선,완정,인천광역시 서구 당하동 1077-10,인천광역시 서구 원당대로 650
인천교통공사,인천2호선,왕길,인천광역시 서구 왕길동 474-8,인천광역시 서구 검단로 323
인천교통공사,인천2호선,운연,인천광역시 남동구 운연동 131-2,인천광역시 남동구 매소홀로 1229
인천교통공사,인천2호선,인천가좌,인천광역시 서구 가좌동 110,인천광역시 서구 가석로 67
인천교통공사,인천2호선,인천대공원,인천광역시 남동구 장수동 606-9,인천광역시 남동구 수인로 3677
인천교통공사,인천2호선,인천시청,인천광역시 남동구 간석동 927,인천광역시 남동구 구월로  99
인천교통공사,인천2호선,주안,인천광역시 미추홀구 주안동 125,인천광역시 미추홀구 주안로  91-1
인천교통공사,인천2호선,주안국가산단,인천광역시 서구 가좌동 606-11,인천광역시 서구 방축로 343
