"환승시작역	,	환승시작 호선"
"복정	,	수인분당선"
"대곡	,	경의선"
"가좌	,	경의선"
"문산	,	경의선"
"효창공원앞	,	경의선"
"청구	,	5"
"합정	,	6"
"인천	,	수인분당선"
"주안	,	인천2"
"인천시청	,	인천2"
"석남	,	7"
"기흥	,	용인경전철"
"모란	,	8"
"온수	,	1"
"삼각지	,	6"
"마곡나루	,	공항철도"
"계양	,	공항철도"
"신길온천	,	4"
"정왕	,	4"
"대림	,	2"
"소사	,	서해선"
"이촌	,	경의선"
"신내	,	6"
"용산	,	경의선"
"노량진	,	9"
"수서	,	수인분당선"
"검암	,	공항철도"
"인천공항1터미널	,	자기부상철도"
"오이도	,	4"
"원인재	,	인천1"
"가락시장	,	3"
"이매	,	수인분당선"
"부평	,	인천1"
"신길	,	5"
"까치산	,	2"
"옥수	,	경의선"
"약수	,	3"
"충무로	,	4"
"불광	,	6"
"연신내	,	6"
"초지	,	수인분당선"
"초지	,	4"
"여의도	,	9"
"금정	,	4"
"고잔	,	4"
"안산	,	4"
"충정로	,	5"
"신당	,	6"
"을지로4가	,	5"
"수원	,	1"
"동작	,	9"
"구로	,	1"
"고속터미널	,	9"
"고속터미널	,	7"
"선정릉	,	9"
"강남구청	,	7"
"군자	,	5"
"정자	,	신분당선"
"미금	,	신분당선"
"선릉	,	2"
"도곡	,	수인분당선"
"판교	,	경강선"
"부평구청	,	인천1"
"가산디지털단지	,	7"
"한대앞	,	4"
"중앙	,	4"
"금천구청	,	1"
"당산	,	9"
"영등포구청	,	2"
"서울역	,	4"
"서울역	,	경의선"
"서울역	,	공항철도"
"동대문	,	1"
"보문	,	우이신설선"
"성신여대입구	,	우이신설선"
"종합운동장	,	9"
"잠실	,	2"
"석촌	,	9"
"오금	,	3"
"올림픽공원	,	5"
"강동	,	5"
"천호	,	5"
"강남	,	신분당선"
"사당	,	2"
"이수	,	7"
"건대입구	,	7"
"성수	,	2"
"양재	,	3"
"교대	,	3"
"김포공항	,	공항철도"
"김포공항	,	9"
"김포공항	,	김포도시철도"
"태릉입구	,	6"
"도봉산	,	7"
"창동	,	4"
"석계	,	6"
"공덕	,	6"
"공덕	,	경의선"
"공덕	,	공항철도"
"시청	,	1"
"을지로3가	,	3"
"동묘앞	,	1"
"신도림	,	2"
"동대문역사문화공원	,	5"
"동대문역사문화공원	,	2"
"신설동	,	우이신설선"
"신설동	,	2"
"상봉	,	경춘선"
"상봉	,	경의선"
"회룡	,	의정부경전철"
"노원	,	7"
"광운대	,	경춘선"
"회기	,	경춘선"
"회기	,	1"
"중랑	,	경의선"
"망우	,	경의선"
"왕십리	,	경의선"
"왕십리	,	5"
"왕십리	,	수인분당선"
"디지털미디어시티	,	경의선"
"디지털미디어시티	,	6"
"홍대입구	,	공항철도"
"홍대입구	,	경의선"
"종로3가	,	5"
"종로3가	,	3"
"오이도	,	수인분당선"
"원인재	,	수인분당선"
"가락시장	,	8"
"이매	,	경강선"
"부평	,	1"
"복정	,	8"
"대곡	,	3"
"효창공원앞	,	6"
"청구	,	6"
"합정	,	2"
"인천	,	1"
"주안	,	1"
"인천시청	,	인천1"
"석남	,	인천2"
"기흥	,	수인분당선"
"모란	,	수인분당선"
"청량리	,	수인분당선"
"청량리	,	경의선"
"청량리	,	경춘선"
"신당	,	2"
"을지로4가	,	2"
"수원	,	수인분당선"
"동작	,	4"
"온수	,	7"
"삼각지	,	4"
"마곡나루	,	9"
"계양	,	인천1"
"신길온천	,	수인분당선"
"정왕	,	수인분당선"
"대림	,	7"
"소사	,	1"
"이촌	,	4"
"신내	,	경춘선"
"용산	,	1"
"노량진	,	1"
"수서	,	3"
"검암	,	인천2"
"인천공항1터미널	,	공항철도"
"한대앞	,	수인분당선"
"중앙	,	수인분당선"
"당산	,	2"
"영등포구청	,	5"
"신길	,	1"
"까치산	,	5"
"옥수	,	3"
"약수	,	6"
"충무로	,	3"
"불광	,	3"
"연신내	,	3"
"초지	,	서해선"
"여의도	,	5"
"금정	,	1"
"고잔	,	수인분당선"
"안산	,	수인분당선"
"충정로	,	2"
"총신대입구	,	4"
"건대입구	,	2"
"양재	,	신분당선"
"교대	,	2"
"고속터미널	,	3"
"선정릉	,	수인분당선"
"강남구청	,	수인분당선"
"군자	,	7"
"정자	,	수인분당선"
"미금	,	수인분당선"
"선릉	,	수인분당선"
"도곡	,	3"
"판교	,	신분당선"
"부평구청	,	7"
"가산디지털단지	,	1"
"시청	,	2"
"을지로3가	,	2"
"동묘앞	,	6"
"서울역	,	1"
"동대문	,	4"
"보문	,	6"
"성신여대입구	,	4"
"종합운동장	,	2"
"잠실	,	8"
"석촌	,	8"
"오금	,	5"
"올림픽공원	,	9"
"천호	,	8"
"강남	,	2"
"사당	,	4"
"회기	,	경의선"
"중랑	,	경춘선"
"망우	,	경춘선"
"김포공항	,	5"
"태릉입구	,	7"
"도봉산	,	1"
"창동	,	1"
"석계	,	1"
"공덕	,	5"
"종로3가	,	1"
"신도림	,	1"
"동대문역사문화공원	,	4"
"신설동	,	1"
"상봉	,	7"
"회룡	,	1"
"노원	,	4"
"광운대	,	1"
"청량리	,	1"
"왕십리	,	2"
"디지털미디어시티	,	공항철도"
"홍대입구	,	2"
