zone_name,lng,lat,region1,region2,region3
비전2 파출소사거리,127.102939,36.995989,경기도,평택시,비전동
수원시청역 9번출구,127.032953,37.262378,경기도,수원시　팔달구,인계동
목포 상동현대아파트 앞,126.415655,34.811289,전라남도,목포시,상동
단국대 산학협력관 앞,127.166626,36.832965,충청남도,천안시　동남구,신부동
목원대학교 앞,127.337858,36.329906,대전광역시,서구,도안동
수원대 쪽문(평생교육원 뒤),126.980617,37.213111,경기도,화성시,봉담읍
수원시청역 1번출구,127.034731,37.258294,경기도,수원시　팔달구,인계동
신사역 5번출구,127.017639,37.517559,서울특별시,서초구,잠원동
동진여중 앞,128.703729,35.141448,경상남도,창원시　진해구,풍호동
판곡초등학교 앞,127.240318,37.657671,경기도,남양주시,호평동
미사롯데캐슬헤븐시티 2차,127.198275,37.564299,경기도,하남시,망월동
인천대입구역,126.643346,37.384086,인천광역시,연수구,송도동
센트럴파크로 사거리,127.061159,37.288723,경기도,수원시　영통구,하동
나라키움 여의도빌딩,126.931243,37.518222,서울특별시,영등포구,여의도동
NC백화점 구로점,126.883313,37.500797,서울특별시,구로구,구로동
장림시장 옆,128.970833,35.080297,부산광역시,사하구,장림동
기흥역 4번출구(센트럴푸르지오),127.11844,37.273867,경기도,용인시　기흥구,구갈동
그랜드플라자 청주호텔,127.496648,36.667098,충청북도,청주시　청원구,율량동
김천 구미역(KTX) 옆,128.179368,36.114908,경상북도,김천시,율곡동
CGV 대전가오점 옆,127.45652,36.306126,대전광역시,동구,가오동
SK주유소 심곡점,126.776894,37.488319,경기도,부천시,심곡동
북샛말공원 옆,127.448122,37.286133,경기도,이천시,창전동
구의동(와이퍼),127.092187,37.538704,서울특별시,광진구,구의동
강릉역(KTX) 옆,128.901398,37.765349,강원도,강릉시,교동
이케아 광명점,126.881985,37.424597,경기도,광명시,일직동
구로역 광장 옆,126.881822,37.503863,서울특별시,구로구,신도림동
래미안해운대아파트,129.176368,35.163033,부산광역시,해운대구,중동
잠전초등학교 옆,127.082569,37.507144,서울특별시,송파구,잠실동
일산호수공원 앞,126.76697,37.659908,경기도,고양시　일산동구,장항동
덕정역,127.061794,37.844279,경기도,양주시,덕정동
여주역(경강선),127.628036,37.282281,경기도,여주시,교동
평촌역 2번출구,126.96133,37.395198,경기도,안양시　동안구,관양동
후평일단지시장,127.746911,37.880878,강원도,춘천시,후평동
후평동우체국 뒤,127.749293,37.882576,강원도,춘천시,후평동
해운대대우2차아파트,129.184344,35.172279,부산광역시,해운대구,좌동
CGV 북포항점 옆,129.36915,36.040563,경상북도,포항시　북구,동빈2가
태화종합시장 앞,129.306365,35.554743,울산광역시,중구,태화동
울산 도화공원,129.331874,35.566228,울산광역시,중구,복산동
반구새마을금고 본점 옆,129.343423,35.558408,울산광역시,중구,반구동
성남프라자 옆,129.316824,35.554145,울산광역시,중구,성남동
마들역 4번출구,127.058919,37.66417,서울특별시,노원구,상계동
운정호수공원,126.749886,37.719769,경기도,파주시,와동동
영주 공영주차장,128.622265,36.810823,경상북도,영주시,휴천동
교문중학교 앞,127.13296,37.589393,경기도,구리시,교문동
인하대역,126.646782,37.44719,인천광역시,미추홀구,용현동
다이소 다산신도시점,127.154415,37.625597,경기도,남양주시,다산동
신천복합역사 A동,126.787044,37.439205,경기도,시흥시,신천동
홍대입구역 9번출구,126.92347,37.555927,서울특별시,마포구,동교동
전남대 후문,126.912933,35.177738,광주광역시,북구,용봉동
광명사거리역 10번출구,126.857674,37.479229,경기도,광명시,광명동
여의도역 5번출구,126.925148,37.521149,서울특별시,영등포구,여의도동
대화역 5번출구,126.747559,37.676903,경기도,고양시　일산서구,대화동
태평역 3번출구,127.133057,37.440857,경기도,성남시　수정구,수진동
오목교역 7번출구,126.874708,37.524154,서울특별시,양천구,목동
강원대학교병원 옆,127.746071,37.875322,강원도,춘천시,효자동
겸재삼거리,127.100898,37.590462,서울특별시,중랑구,망우동
단양역(KTX),128.343645,36.973189,충청북도,단양군,단양읍
더샵게스트하우스,128.370205,36.986828,충청북도,단양군,단양읍
김군하우스,128.369921,36.98656,충청북도,단양군,단양읍
장암동주민센터 앞,127.054605,37.724424,경기도,의정부시,장암동
영풍아파트1단지,126.722489,37.460975,인천광역시,남동구,만수동
연수역 옆,126.67628,37.419023,인천광역시,연수구,청학동
인천시청,126.705448,37.456519,인천광역시,남동구,구월동
속초 청호활어회센터 앞,128.594578,38.192038,강원도,속초시,청호동
양양터미널(믿음카센터),128.626603,38.076208,강원도,양양군,양양읍
상동역 2번출구,126.753477,37.504496,경기도,부천시,상동
목동 삼성화재서비스빌딩,126.871503,37.527913,서울특별시,양천구,목동
아라주공아파트 뒤편,126.54682,33.472155,제주특별자치도,제주시,아라일동
롯데마트 신제주점 뒤편,126.482916,33.482753,제주특별자치도,제주시,노형동
경성대 정문,129.100723,35.138351,부산광역시,남구,대연동
서울은빛초등학교 옆,126.920173,37.642593,서울특별시,은평구,진관동
응암4동어린이공원 옆,126.915283,37.583153,서울특별시,서대문구,북가좌동
이마트24 남성중앙점,128.157208,36.412734,경상북도,상주시,남성동
서울숲역 1번출구(카우앤독),127.046822,37.543095,서울특별시,성동구,성수동1가
원광초등학교 옆,127.076576,37.653738,서울특별시,노원구,중계동
CGV 양산물금점 앞,129.00318,35.318326,경상남도,양산시,물금읍
대진고등학교 앞,127.076881,37.637096,서울특별시,노원구,하계동
장한평역 4번출구,127.070145,37.563549,서울특별시,동대문구,장안동
대방역 e편한세상1차,126.928917,37.512341,서울특별시,동작구,대방동
마포제일성모의원,126.911514,37.564716,서울특별시,마포구,성산동
문정역 3번출구,127.122341,37.483267,서울특별시,송파구,문정동
화곡 본-1 공영주차장,126.849738,37.539686,서울특별시,강서구,화곡동
신방화역 8번출구,126.812861,37.567097,서울특별시,강서구,방화동
용현사거리,126.651422,37.456818,인천광역시,미추홀구,용현동
명지대학교 인문캠퍼스,126.923934,37.579956,서울특별시,서대문구,남가좌동
옥정 상업지구,127.093529,37.819445,경기도,양주시,옥정동
괴정역 3번출구,128.992846,35.100513,부산광역시,사하구,괴정동
홈플러스 오산점 옆,127.061107,37.170827,경기도,오산시,수청동
역세권 청년주택 합정역,126.9168,37.550795,서울특별시,마포구,서교동
하단역 3번출구,128.966023,35.107062,부산광역시,사하구,하단동
창동 금강아파트 101동,127.035768,37.644292,서울특별시,도봉구,창동
오금역 6번출구,127.126472,37.502328,서울특별시,송파구,가락동
매봉역 2번출구(롯데시네마 도곡점),127.046831,37.487479,서울특별시,강남구,도곡동
이마트24 포항이동점,129.337969,36.030346,경상북도,포항시　남구,이동
GS수퍼마켓 원주점,127.947696,37.330932,강원도,원주시,단구동
GS수퍼마켓 홍천점,127.883615,37.688023,강원도,홍천군,홍천읍
GS수퍼마켓 청주점 ,127.472192,36.615963,충청북도,청주시　서원구,수곡동
GS더프레시 충주연수점,127.937844,36.990383,충청북도,충주시,연수동
GS수퍼마켓 청주봉명점,127.461169,36.641923,충청북도,청주시　흥덕구,봉명동
GS수퍼마켓 화명점,129.014905,35.24057,부산광역시,북구,화명동
명일역 3번출구,127.144597,37.551382,서울특별시,강동구,명일동
GS수퍼마켓 옥포점,128.694327,34.893527,경상남도,거제시,옥포동
GS수퍼마켓 대방점,128.707971,35.208665,경상남도,창원시　성산구,대방동
신천복합역사 B동,126.786717,37.438786,경기도,시흥시,신천동
유성온천공원 앞,127.344337,36.354529,대전광역시,유성구,봉명동
성균관대역 3번출구(정기권),126.970021,37.300113,경기도,수원시　장안구,율전동
구로중학교 앞,126.891807,37.495054,서울특별시,구로구,구로동
고양종합터미널 옆,126.79097,37.644341,경기도,고양시　일산동구,백석동
가산동 대륭포스트타워5차,126.88636,37.480957,서울특별시,금천구,가산동
왕십리 텐즈힐아파트,127.026357,37.569147,서울특별시,성동구,하왕십리동
청주국제공항,127.491789,36.720912,충청북도,청주시　청원구,내수읍
당산에스에이치빌,126.901451,37.524151,서울특별시,영등포구,당산동3가
송도 라이크홈,126.652819,37.367058,인천광역시,연수구,송도동
상도역 5번출구,126.950672,37.500698,서울특별시,동작구,상도1동
왕십리역 비트플렉스몰,127.038465,37.562175,서울특별시,성동구,행당동
광진구청 옆,127.081745,37.537502,서울특별시,광진구,자양동
메가박스 양산점 앞,129.027437,35.337976,경상남도,양산시,중부동
서초중학교 옆(거주자주차면 85구간),127.007997,37.485393,서울특별시,서초구,서초동
모란역 12번출구,127.131416,37.433693,경기도,성남시　중원구,성남동
공주종합버스터미널 뒤,127.134203,36.46813,충청남도,공주시,신관동
대교타워,126.925585,37.49101,서울특별시,관악구,봉천동
연산역 14번출구,129.08313,35.188698,부산광역시,연제구,연산동
올리브영 울산호계점 옆,129.350693,35.628052,울산광역시,북구,호계동
창원시청 뒤편,128.682305,35.228924,경상남도,창원시　성산구,용호동
판곡초등학교 옆,127.243067,37.660594,경기도,남양주시,호평동
아산역 2번출구 앞(KTX환승),127.104667,36.791526,충청남도,아산시,배방읍
인천송림초등학교 옆,126.638927,37.474462,인천광역시,동구,송림동
소래포구역 1번출구,126.731861,37.401203,인천광역시,남동구,논현동
수성못 먹자골목,128.624636,35.825725,대구광역시,수성구,두산동
개봉2동 주민센터 뒤,126.854312,37.491827,서울특별시,구로구,개봉동
경인중학교 옆,126.852477,37.499566,서울특별시,구로구,개봉동
고척근린시장 옆,126.850246,37.501187,서울특별시,구로구,개봉동
서울세곡초등학교 옆,126.850363,37.504187,서울특별시,구로구,고척동
서울고척초등학교 앞,126.857805,37.501405,서울특별시,구로구,고척동
검암역 1번출구,126.671722,37.568436,인천광역시,서구,검암동
광명국민체육센터,126.865433,37.486839,경기도,광명시,철산동
우장산역 2번출구,126.836845,37.547703,서울특별시,강서구,화곡동
망우역 1번출구,127.096214,37.599201,서울특별시,중랑구,망우동
송파구민회관,127.093338,37.502625,서울특별시,송파구,삼전동
희망나눔병원,126.665932,37.444588,인천광역시,미추홀구,학익동
흥선역 1번출구,127.040289,37.742637,경기도,의정부시,의정부동
대전세무서 앞,127.420579,36.332199,대전광역시,중구,선화동
대흥공원 옆,127.429175,36.325794,대전광역시,중구,대흥동
새롬고등학교 옆,127.250199,36.486471,세종특별자치시,세종시,새롬동
뉴코아아울렛 평택점,127.112316,36.995933,경기도,평택시,비전동
신한은행 안산금융센터,126.833027,37.318633,경기도,안산시　단원구,고잔동
전파진흥원 옆,126.793579,35.020107,전라남도,나주시,빛가람동
검찰사거리,126.82782,37.308815,경기도,안산시　단원구,고잔동
인천길주초등학교 뒤,126.742821,37.542931,인천광역시,계양구,용종동
상계주공7단지 717동,127.060928,37.66045,서울특별시,노원구,상계동
유니클로 포항장성점,129.378468,36.071497,경상북도,포항시　북구,장성동
유니클로 대구 대천점,128.521485,35.818381,대구광역시,달서구,대천동
서강대역 2번출구,126.934593,37.553051,서울특별시,마포구,노고산동
덕소역,127.207872,37.587815,경기도,남양주시,와부읍
성서중학교 옆,126.911451,37.563891,서울특별시,마포구,성산동
홍제역 4번출구,126.942312,37.588924,서울특별시,서대문구,홍제동
미아역 1번출구,127.025387,37.629875,서울특별시,강북구,미아동
성수역 2번출구,127.062589,37.546375,서울특별시,성동구,성수동2가
곤지암역(경강선),127.3455,37.350857,경기도,광주시,곤지암읍
진버들마을대우2차아파트,127.165452,35.836358,전라북도,전주시　덕진구,우아동2가
천호역 5번출구,127.128731,37.538158,서울특별시,강동구,천호동
가락시장역 7번출구,127.117984,37.491588,서울특별시,송파구,문정동
롯데리아 부산신호점 뒤편,128.877744,35.084944,부산광역시,강서구,신호동
당산타워빌,126.905967,37.533371,서울특별시,영등포구,당산동6가
쏘카 비즈니스 비아이엔솔루션,126.891857,37.536166,서울특별시,영등포구,양평동5가
원주 광해관리공단 앞,127.988478,37.324469,강원도,원주시,반곡동
구갈초등학교 옆,127.11323,37.277756,경기도,용인시　기흥구,구갈동
대구지방노동청 포항지청,129.344771,36.013911,경상북도,포항시　남구,대잠동
CU 홍은벽산점,126.946237,37.594432,서울특별시,서대문구,홍은동
하나은행대전역점 앞,127.431496,36.334309,대전광역시,동구,정동
MDM타워,127.066251,37.506853,서울특별시,강남구,대치동
서울위례별초등학교 앞,127.142899,37.475495,서울특별시,송파구,장지동
다인 로얄팰리스 배곧9차,126.726393,37.367724,경기도,시흥시,정왕동
통영종합버스터미널,128.417328,34.883705,경상남도,통영시,광도면
광안역 6번출구,129.111908,35.153961,부산광역시,수영구,광안동
노포종합터미널 맞은편,129.093948,35.283401,부산광역시,금정구,노포동
고속터미널역 3번출구(3층),127.002946,37.504684,서울특별시,서초구,반포동
대구 들안길,128.614943,35.835064,대구광역시,수성구,상동
교대역 4번출구,129.08113,35.195745,부산광역시,연제구,거제동
유성지구대 뒤,127.350959,36.357762,대전광역시,유성구,봉명동
KT 서울산점 옆,129.261596,35.54771,울산광역시,남구,무거동
느리울근린공원 옆,127.341468,36.299688,대전광역시,서구,관저동
충정로역 10번출구,126.963324,37.559883,서울특별시,서대문구,충정로3가
후암시장,126.976067,37.550453,서울특별시,용산구,후암동
국기원입구교차로,127.031944,37.499561,서울특별시,강남구,역삼동
우이초등학교 옆,127.017842,37.63824,서울특별시,강북구,수유동
성복역 5번출구(푸른마을푸르지오),127.078812,37.31611,경기도,용인시　수지구,성복동
항동하버라인 2단지,126.822332,37.481341,서울특별시,구로구,항동
코오롱싸이언스밸리2차,126.899259,37.484297,서울특별시,구로구,구로동
경주 중앙시장 앞,129.205105,35.843982,경상북도,경주시,성건동
경주시 충효동,129.181826,35.843938,경상북도,경주시,충효동
에이스한솔타워,126.886407,37.471214,서울특별시,금천구,가산동
서울신미림초등학교 옆,126.879155,37.508952,서울특별시,구로구,신도림동
센텀 제니스스퀘어,129.143897,35.156685,부산광역시,해운대구,우동
원당역 환승주차장,126.842768,37.652565,경기도,고양시　덕양구,성사동
태릉시장 뒤,127.076541,37.598975,서울특별시,중랑구,중화동
석촌역,127.10849,37.505314,서울특별시,송파구,송파동
반월당역 3번출구,128.594498,35.864319,대구광역시,중구,남산동
동대구역(KTX) 2번출구,128.625717,35.877155,대구광역시,동구,신천동
울산시외버스터미널,129.339783,35.536034,울산광역시,남구,삼산동
월곡1동 주민센터 옆,127.03791,37.61203,서울특별시,성북구,하월곡동
상일동역교차로 뒤,127.172798,37.556355,서울특별시,강동구,강일동
선암초교네거리 옆,127.336834,36.295744,대전광역시,서구,관저동
계룡시안전센터 뒤,127.238387,36.288148,충청남도,계룡시,엄사면
김천 구미역(KTX) 앞,128.181721,36.114445,경상북도,김천시,율곡동
망우역 1번출구(듀오트리스),127.092241,37.59744,서울특별시,중랑구,상봉동
세교 디오네프라자,127.090594,37.009085,경기도,평택시,세교동
광교역 1번출구,127.046182,37.300616,경기도,수원시　영통구,이의동
신한헤센스마트,126.918135,37.633315,서울특별시,은평구,진관동
논현역 1번출구,127.023392,37.510719,서울특별시,강남구,논현동
공덕역 7번출구,126.952529,37.542918,서울특별시,마포구,신공덕동
천마산역 3번출구,127.28462,37.65883,경기도,남양주시,화도읍
의정부역 7번출구,127.047485,37.73285,경기도,의정부시,의정부동
마장역 1번출구(거주자),127.039655,37.565085,서울특별시,성동구,마장동
양양 하조대,128.725524,38.020944,강원도,양양군,현북면
주만사 신안약수아파트 ,126.847133,37.51699,서울특별시,양천구,신월동
주만사 더리움,126.881152,37.545885,서울특별시,양천구,목동
주만사 한솔그린빌,126.832691,37.530601,서울특별시,양천구,신월동
반월동 동경빌딩,127.071549,35.874315,전라북도,전주시　덕진구,반월동
죽림2공원 앞,127.637745,34.764169,전라남도,여수시,소라면
매안초등학교 옆,127.551792,34.928244,전라남도,순천시,해룡면
국회의사당역 4번출구,126.917684,37.526712,서울특별시,영등포구,여의도동
사직역 3번출구,129.063359,35.197451,부산광역시,동래구,사직동
수원KT위즈파크(정기권),127.008087,37.298846,경기도,수원시　장안구,조원동
경수중학교 앞,127.055977,37.539162,서울특별시,성동구,성수동2가
창원 가음정시장,128.697784,35.208389,경상남도,창원시　성산구,가음동
강원대학교 사범대 1호관,127.741834,37.870504,강원도,춘천시,효자동
남양무지개아파트 옆,127.113434,35.812842,전라북도,전주시　완산구,효자동
굽은다리역 1번출구,127.142163,37.545315,서울특별시,강동구,천호동
일산2동 주민센터 앞,126.779547,37.683109,경기도,고양시　일산동구,중산동
화명 스페이스303,129.011989,35.235829,부산광역시,북구,화명동
