adm_cd,adm_nm,pop,cluster
41820,가평군,62197,1
41281,고양시 덕양구,487874,1
41285,고양시 일산동구,296590,1
41287,고양시 일산서구,290738,1
41290,과천시,77775,1
41210,광명시,288182,1
41610,광주시,391704,4
41310,구리시,188876,4
41410,군포시,266531,4
41570,김포시,484194,4
41360,남양주시,737366,1
41250,동두천시,91735,1
41190,부천시,791263,1
41135,성남시 분당구,482026,1
41131,성남시 수정구,232125,1
41133,성남시 중원구,206211,2
41113,수원시 권선구,367004,2
41117,수원시 영통구,360127,2
41111,수원시 장안구,271012,2
41115,수원시 팔달구,192225,2
41390,시흥시,512438,2
41273,안산시 단원구,297509,2
41271,안산시 상록구,345535,2
41550,안성시,189146,2
41173,안양시 동안구,314102,2
41171,안양시 만안구,234296,2
41630,양주시,241346,2
41830,양평군,122463,3
41670,여주시,113096,3
41800,연천군,42153,3
41370,오산시,229833,3
41463,용인시 기흥구,438500,3
41465,용인시 수지구,377198,3
41461,용인시 처인구,259872,3
41430,의왕시,160464,3
41150,의정부시,463789,3
41500,이천시,223151,5
41480,파주시,494970,5
41220,평택시,577335,5
41650,포천시,147019,5
41450,하남시,325310,5
41590,화성시,907958,5
