adm_cd,adm_nm,cluster1,cluster2,cluster3,cluster4,cluster5
41820,가평군,1,,,,
41281,고양시 덕양구,1,,,,
41285,고양시 일산동구,1,,,,
41287,고양시 일산서구,1,,,,
41290,과천시,1,,,,
41210,광명시,1,,,,
41610,광주시,,2,,,
41310,구리시,,2,,,
41410,군포시,,2,,,
41570,김포시,,2,,,
41360,남양주시,,2,,,
41250,동두천시,,2,,,
41190,부천시,,2,,,
41135,성남시 분당구,,,3,,
41131,성남시 수정구,1,,,,
41133,성남시 중원구,1,,,,
41113,수원시 권선구,1,,,,
41117,수원시 영통구,1,,,,
41111,수원시 장안구,,,3,,
41115,수원시 팔달구,,,3,,
41390,시흥시,,,3,,
41273,안산시 단원구,,,3,,
41271,안산시 상록구,,,3,,
41550,안성시,,,3,,
41173,안양시 동안구,,,3,,
41171,안양시 만안구,,,,4,
41630,양주시,,,,4,
41830,양평군,,,,4,
41670,여주시,,,,4,
41800,연천군,,,,4,
41370,오산시,,,,4,
41463,용인시 기흥구,,,,4,
41465,용인시 수지구,,,,4,
41461,용인시 처인구,,,,4,
41430,의왕시,,,,,5
41150,의정부시,,,,,5
41500,이천시,,,,,5
41480,파주시,,,,,5
41220,평택시,,,,,5
41650,포천시,,,,,5
41450,하남시,,,,,5
41590,화성시,,,,,5
