지역,단지,세대수,주소,위도,경도,name1,name2
고양시 덕양구,삼송11단지,832,경기도 고양시 덕양구 원흥1로 25,37.65099196,126.8654913,고양시,덕양구
고양시 덕양구,고양지축 A-1블록 신혼희망타운 행복주택,250,경기도 고양시 덕양구 오부자로 99,37.65333072,126.9210374,고양시,덕양구
고양시 덕양구,고양지축 A-4BL 행복주택,473,경기도 고양시 덕양구 오부자로 43,37.65403826,126.9149456,고양시,덕양구
고양시 덕양구,고양삼송 LH원흥마을13단지,947,경기도 고양시 덕양구 원흥1로 35,37.65263107,126.868888,고양시,덕양구
고양시 덕양구,서정마을LH12단지,276,경기도 고양시 덕양구 서정마을2로 17,37.62121526,126.8476479,고양시,덕양구
고양시 덕양구,고양삼송 LH10단지,777,경기도 고양시 덕양구 원흥1로 31,37.6516011,126.8663458,고양시,덕양구
고양시 덕양구,고양향동 A-4블록 행복주택,498,경기도 고양시 덕양구 향기5로 65,37.60764879,126.8953774,고양시,덕양구
고양시 덕양구,고양지축 행복주택 A-3,890,경기도 고양시 덕양구 오부자로 150,37.64731626,126.9204432,고양시,덕양구
구리시,구리수택 행복주택,394,경기도 구리시 체육관로74번길 67,37.59136083,127.1416252,구리시,
김포시,김포한강1단지(행복Aa-12),443,경기도 김포시 허산길 50,37.6371058,126.6667597,김포시,
김포시,김포마송 B-5블록 행복주택,500,경기도 김포시 통진읍 율마로438번길 51,37.68840196,126.6064985,김포시,
김포시,김포양곡 E-1블록 행복주택,990,경기도 김포시 양촌읍 양곡2로80번길 61,37.65874621,126.6315479,김포시,
김포시,김포마송 B-3블록 행복·영구임대주택,450,경기도 김포시 통진읍 율마로450번길 51,37.68933901,126.6065106,김포시,
김포시,곡촌마을,362,경기도 김포시 양촌읍 양곡4로197번길 11,37.66062962,126.6302239,김포시,
김포시,김포장기11단지(행복B-11),196,경기도 김포시 김포한강3로237번길 33,37.63699398,126.6638655,김포시,
김포시,한가람마을,1500,경기도 김포시 김포한강4로 564,37.64669182,126.620401,김포시,
남양주시,남양주별내 A1-2 행복주택리츠,1220,경기도 남양주시 덕송3로 30,37.66993231,127.1135907,남양주시,
남양주시,LH퍼스트포레,128,경기도 남양주시 순화궁로 458-16,37.72839341,127.1937827,남양주시,
남양주시,남양주장현 행복주택 2단지,870,경기도 남양주시 진접읍 금강로 1530-33,37.66698025,127.1217242,남양주시,
남양주시,별가람마을 1-8단지,872,경기도 남양주시 순화궁로 458-58,37.66729855,127.1232095,남양주시,
남양주시,남양주금곡 행복주택,352,경기도 남양주시 경춘로 899,37.6331476,127.2012615,남양주시,
남양주시,다산해모로,24,경기도 남양주시 미금로19번길 9,37.60585856,127.1518508,남양주시,
동두천시,동두천송내 S1BL 행복주택,260,경기도 동두천시 이담로 10,37.8882105,127.0487946,동두천시,
부천시,부천중동1 행복주택,26,경기도 부천시 중동로 88,37.48758862,126.7652791,부천시,
부천시,부천옥길 행복주택(A4BL),270,경기도 부천시 양지로 151,37.47088921,126.8195706,부천시,
성남시 수정구,성남고등 A-1 행복주택리츠,1040,경기도 성남시 수정구 고등로 57,37.43052951,127.0995765,성남시,수정구
성남시 수정구,판교제2테크노밸리 A1블록 창업지원주택,200,경기도 성남시 수정구 창업로40번길 6,37.41263376,127.0959946,성남시,수정구
성남시 수정구,성남위례A2-15BL 지역전략산업 및 창업지원주택,470,경기도 성남시 수정구 위례순환로 53,37.4717899,127.1351252,성남시,수정구
성남시 수정구,성남단대,16,경기도 성남시 수정구 산성대로405번길 9-9,37.4481832,127.1571425,성남시,수정구
성남시 수정구,단대동 행복주택,60,경기도 성남시 수정구 단대로23번길 36,37.44984276,127.1558633,성남시,수정구
수원시 권선구,수원호매실21(행복),400,경기도 수원시 권선구 호매실로 103,37.25382971,126.9595333,수원시,권선구
수원시 영통구,광교 원천,300,경기도 수원시 영통구 광교중앙로49번길 40,37.2805329,127.0501051,수원시,영통구
수원시 영통구,수원 광교,204,경기도 수원시 영통구 창룡대로 250,37.29485981,127.0367218,수원시,영통구
수원시 영통구,수원 영통,100,경기도 수원시 영통구 동탄지성로470번길 34,37.23388006,127.0478655,수원시,영통구
수원시 팔달구,수원고등(행복),500,경기도 수원시 팔달구 고등로 8,37.27256928,126.9983088,수원시,팔달구
시흥시,시흥은계 A1 행복주택,820,경기도 시흥시 은계북길 7,37.44961926,126.7977225,시흥시,
시흥시,LH트리플센텀,197,경기도 시흥시 시청로 79,37.38135738,126.7972624,시흥시,
시흥시,시흥장현 A-4 행복주택,996,경기도 시흥시 능곡서로 27,37.37001706,126.8020232,시흥시,
안성시,아양 LH6단지,699,경기도 안성시 아양로 72,37.00610796,127.2572844,안성시,
안양시 만안구,안양명학 A-1블록 행복주택,24,경기도 안양시 만안구 명학로 15,37.37830274,126.9379635,안양시,만안구
양주시,양주덕정1(행복주택),280,경기도 양주시 고암길 251,37.83419289,127.0727594,양주시,
양주시,양주옥정3단지,1500,경기도 양주시 옥정서로 254,37.83540295,127.0884544,양주시,
