ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,MANAGE_NO,FLAG_NM,TY_NM,PARKNG_SPCE_CO,MANAGE_FLAG_NM,UTILIIZA_LMTT_FLAG_NM,WKDAY_NM,WORKDAY_OPN_BSNS_TIME,WORKDAY_CLOS_TIME,SAT_OPN_BSNS_TIME,SAT_CLOS_TIME,SUN_OPN_BSNS_TIME,SUN_CLOS_TIME,UTILIIZA_CHRGE_CN,BASS_TIME,BASS_PRICE,ADIT_UNIT_TIME,ADIT_UNIT_PRICE,ONE_DAY_PARKNG_VLM_TIME,ONE_DAY_PARKNG_VLM_PRICE,MT_FDRM_PRICE,SETLE_MTH_CN,ADIT_DC,MANAGE_INSTT_NM,TEL_NO,데이터기준일자,PROVD_INSTT_CD,PROVD_INSTT_NM,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE,PROVD_INSTT_NM1,PROVD_INSTT_NM2,RDNMADR_NM1,RDNMADR_NM2,RDNMADR_NM3,RDNMADR_NM4,RDNMADR_NM5,sigu_name
KC490PC22N000234,장소,주차장,장기7,경기,김포시,4157010400,장기동,4157052500,장기본동,,경기도 김포시 김포한강3로 291,,다사257605,126.6587441,37.64171447,232-2-000050,공영,노외,321,1,미시행,평일+토요일,9:00,22:00,9:00,22:00,0:00,0:00,유료,30,600,10,300,,7000,80000,신용카드,,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,경기도,김포시,김포한강3로,291,,김포시
KC490PC22N000235,장소,주차장,양곡1,,,,,,,,,,다사228622,126.625061,37.65686268,232-2-000052,공영,노외,46,1,미시행,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,,7000,40000,현금+신용카드,"장날휴무(1일+6일), 주간 정기권만 가능",김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,,,,,,김포시 
KC490PC22N000236,장소,주차장,마산2,,,,,,,,,,다사245597,126.645122,37.63428142,232-2-000054,공영,노외,30,1,미시행,평일+토요일,9:00,23:00,9:00,23:59,0:00,0:00,유료,30,600,10,300,,7000,80000,신용카드,,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,,,,,,김포시 
KC490PC22N000237,장소,주차장,풍무동행복나눔공영주차장,,,,,,,,,,다사313562,126.7220135,37.6026531,232-2-000056,공영,노외,25,1,미시행,평일+토요일+공휴일,9:00,18:00,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,경기도 김포시청,031-980-2330,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,,,,,,김포시 
KC490PC22N000238,장소,주차장,마송 공영주차장,,,,,,,,,,다사207658,126.6012219,37.68887488,232-2-000058,공영,노외,53,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,,,,,,김포시 
KC490PC22N000244,장소,주차장,고촌공영주차장,경기,김포시,4711125623,고촌읍 신곡리,4711125600,고촌읍,4.16E+11,경기도 김포시 고촌읍 은행영사정로 10,10125,다사357559,126.7726398,37.60067559,232-2-000020,공영,노외,58,1,미시행,평일+토요일,9:00,22:00,9:00,22:00,0:00,0:00,유료,30,600,10,300,,7000,80000,현금+신용카드,,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,경기도,김포시,고촌읍,은행영사정로,10,김포시
KC490PC22N000245,장소,주차장,장기① 공영주차장,경기,김포시,4157010400,장기동,4157052500,장기본동,4.16E+11,경기도 김포시 김포한강1로 77-15(장기동),10080,다사266609,126.6690541,37.6455103,232-2-000022,공영,노외,78,1,미시행,평일+토요일,10:00,23:00,10:00,23:00,0:00,0:00,유료,30,600,10,300,,7000,80000,현금+신용카드,,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,경기도,김포시,김포한강1로,77-15(장기동),,김포시
KC490PC22N000246,장소,주차장,통진공영주차장,경기,김포시,4157025023,통진읍 서암리,4157025000,통진읍,4.16E+11,경기도 김포시 통진읍 서암로 98,10016,다사206663,126.6003753,37.69366196,232-2-000024,공영,노외,206,1,미시행,평일,10:00,21:00,0:00,0:00,0:00,0:00,유료,30,600,10,300,,7000,40000,현금+신용카드,"장날휴무(3일+8일), 주간 정기권 이용료로 종일가능",김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,경기도,김포시,통진읍,서암로,98,김포시
KC490PC22N000247,장소,주차장,사우2구역 공영주차장,경기,김포시,4157010600,사우동,4157054000,사우동,4.16E+11,경기도 김포시 돌문로 62번길 49(사우동),10108,다사308582,126.7159487,37.62101768,232-2-000026,공영,노외,32,1,미시행,평일+토요일,11:00,23:00,11:00,23:00,0:00,0:00,유료,30,600,10,300,,7000,60000,현금+신용카드,주간 정기권만 가능,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,경기도,김포시,돌문로,62번길,49(사우동),김포시
KC490PC22N000248,장소,주차장,사우4구역 공영주차장,경기,김포시,4157010600,사우동,4157054000,사우동,4.16E+11,경기도 김포시 돌문로 50-5(사우동),10108,다사309581,126.7175512,37.61979952,232-2-000028,공영,노외,24,1,미시행,평일+토요일,10:00,22:00,10:00,22:00,0:00,0:00,유료,30,600,10,300,,7000,60000,현금+신용카드,주간 정기권만 가능,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,경기도,김포시,돌문로,50-5(사우동),,김포시
KC490PC22N000249,장소,주차장,사우7구역 공영주차장,경기,김포시,4157010600,사우동,4157054000,사우동,4.16E+11,경기도 김포시 사우중로 74번길 19(사우동),10111,다사312582,126.721375,37.6214401,232-2-000030,공영,노외,20,1,미시행,평일+토요일,10:00,22:00,10:00,22:00,0:00,0:00,유료,30,600,10,300,,7000,80000,현금+신용카드,,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,경기도,김포시,사우중로,74번길,19(사우동),김포시
KC490PC22N000250,장소,주차장,장기③공영주차장,경기도,김포시,4157010400,장기동,4157056000,장기동,4.16E+11,경기도 김포시 김포한강1로78번길 61-5,10079,다사269607,126.6725146,37.64376317,232-2-000032,공영,노외,82,1,미시행,평일+토요일,10:00,23:00,10:00,23:00,0:00,0:00,유료,30,600,10,300,,7000,80000,신용카드,,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,경기도,김포시,김포한강1로78번길,May-61,,김포시
KC490PC22N000251,장소,주차장,장기동행복나눔공영주차장,,,,,,,,,,다사262602,126.6642474,37.63898172,232-2-000042,공영,노외,20,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,경기도 김포시청,031-980-2330,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,,,,,,김포시 
KC490PC22N000252,장소,주차장,구래동행복나눔공영주차장,,,,,,,,,,다사226612,126.6231336,37.6474574,232-2-000045,공영,노외,49,1,미시행,평일+토요일+공휴일,9:00,18:00,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,경기도 김포시청,031-980-2330,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,,,,,,김포시 
KC490PC22N000253,장소,주차장,장기5,경기,김포시,4157010400,장기동,4157056000,장기동,,경기도 김포시 김포한강2로 23번길  76,,다사276603,126.680359,37.63984166,232-2-000047,공영,노외,104,1,미시행,평일+토요일,9:00,23:00,9:00,23:00,0:00,0:00,유료,30,600,10,300,,7000,80000,신용카드,,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,경기도,김포시,김포한강2로,23번길,76,김포시
KC490PC22N000254,장소,주차장,장기상가 노상주차장,경기도,김포시,4157010400,장기동,4157052500,장기본동,4.16E+11,경기도 김포시 김포한강1로 75,10080,다사267609,126.6693993,37.64518933,232-1-000014,공영,노상,18,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,0,,,,,,,,경기도 김포시청,031-980-2330,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,경기도,김포시,김포한강1로,75,,김포시
KC490PC22N000255,장소,주차장,사우2구역 노상주차장,경기,김포시,4157010600,사우동,4157054000,사우동,4.16E+11,경기도 김포시 돌문로 62번길,10111,다사308581,126.7161459,37.6202343,232-1-000034,공영,노상,104,1,미시행,평일+토요일,10:00,19:00,10:00,19:00,0:00,0:00,유료,30,600,10,300,,7000,60000,현금+신용카드,,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,경기도,김포시,돌문로,62번길,,김포시
KC490PC22N000256,장소,주차장,장기동 산타 노상,,,,,,,,,,다사265608,126.667719,37.64411536,232-1-000037,공영,노상,42,1,미시행,평일+토요일,10:00,19:00,10:00,19:00,0:00,0:00,유료,30,600,10,300,,7000,60000,현금+신용카드,,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,,,,,,김포시 
KC490PC22N000257,장소,주차장,장기지구 노상,경기도,김포시,4157010400,장기동,4157052500,장기본동,4.16E+11,경기도 김포시 김포한강1로 75,10080,다사267609,126.6693993,37.64518933,232-1-000039,공영,노상,47,1,미시행,평일+토요일,10:00,19:00,10:00,19:00,0:00,0:00,유료,30,600,10,300,,7000,60000,현금+신용카드,,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,경기도,김포시,김포한강1로,75,,김포시
KC490PC22N000258,장소,주차장,김포물류단지북측노상주차장,,,,,,,,,,다사369559,126.7854114,37.60067959,232-1-000043,공영,노상,270,1,미시행,평일+토요일,10:00,19:00,10:00,19:00,0:00,0:00,유료,30,600,10,300,,7000,60000,현금+신용카드,,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,,,,,,김포시 
KC490PC22N000259,장소,주차장,사우6구역 노상,,,,,,,,,,다사316577,126.7256365,37.616505,232-1-000045,공영,노상,15,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,경기도 김포시청,031-980-2330,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,,,,,,김포시 
KC490PC22N000260,장소,주차장,고촌노을 공영주차장,,,,,,,,,,다사357563,126.7723072,37.60387998,232-2-000003,공영,노외,165,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,경기도 김포시청,031-980-2330,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,,,,,,김포시 
KC490PC22N000261,장소,주차장,대곶 공영주차장,경기도,김포시,4157034025,대곶면,4157034000,대곶면,4.16E+11,경기도 김포시 대곶면 율생중앙로 15,10040,다사191614,126.5830375,37.6492103,232-2-000005,공영,노외,86,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,경기도,김포시,대곶면,율생중앙로,15,김포시
KC490PC22N000262,장소,주차장,사우② 공영주차장,경기,김포시,4157010600,사우동,4157054000,사우동,4.16E+11,경기도 김포시 돌문로 16(사우동),10110,다사312579,126.7212102,37.61856089,232-2-000016,공영,노외,94,1,미시행,평일+토요일,9:00,22:00,9:00,22:00,0:00,0:00,유료,30,600,10,300,,7000,80000,현금+신용카드,,김포도시관리공사,031-996-6584,2022-09-27,4090000,경기도 김포시,20220927,공공데이터포털,KC_490_WNTY_PRKLT_2022,20220927,경기도,김포시,경기도,김포시,돌문로,16(사우동),,김포시
