시군명,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부,addr,x,y,lng,lat
안양시,DY town,호계3동,971-1,2013-01-03,9,2,115,N,경기도 안양시 호계3동 971-1,951780.982195556,1930038.46615583,126.95543296208952,37.368156197892986
안양시,HHI브라운빌3차아파트,호계2동,940,2007-07-27,15,2,149,N,경기도 안양시 호계2동 940,951648.800972895,1930981.84433521,126.95387857985196,37.37665240875823
안양시,LD범계마을아파트,호계2동,923-30,1999-01-13,17,1,113,N,경기도 안양시 호계2동 923-30,951221.572580647,1931672.97443054,126.9490077117725,37.38285948279719
안양시,LG빌리지,석수2동,484,2001-05-19,10,34,1872,Y,경기도 안양시 석수2동 484,947025.809510663,1936663.26786704,126.90125758297052,37.42760827892142
안양시,강남6차아파트,비산2동,566-5,1984-10-25,6,1,54,N,경기도 안양시 비산2동 566-5,950089.066159404,1933251.2933193,126.93610913802192,37.39702520524568
안양시,경남아너스빌,안양2동,78,2001-11-10,20,2,248,Y,경기도 안양시 안양2동 78,948677.636661323,1934271.62155611,126.92009275836892,37.40614466673479
안양시,경남연립,평촌동,133-1,1984-12-17,3,2,60,N,경기도 안양시 평촌동 133-1,953458.408420989,1932398.33840454,126.974227956195,37.389512542665145
안양시,경일아파트,석수2동,322-3,1986-07-22,5,2,110,N,경기도 안양시 석수2동 322-3,948002.985512225,1934988.78741098,126.91241954592,37.41257108543393
안양시,골든아파트,관양2동,1471-8,1985-08-31,5,1,51,N,경기도 안양시 관양2동 1471-8,953130.554510398,1933942.51876666,126.9704264722688,37.40341439334246
안양시,공원아파트,안양2동,823-10,2003-07-23,11,1,55,N,경기도 안양시 안양2동 823-10,948081.753755894,1934224.32763462,126.9133633378198,37.405685176024846
안양시,공작마을럭키,부림동,1587,1993-06-23,20,8,766,Y,경기도 안양시 부림동 1587,951982.795884302,1933622.61539143,126.9574793674153,37.40047217861737
안양시,공작마을부영2차,부림동,1588,1993-03-13,20,14,1710,Y,경기도 안양시 부림동 1588,952101.172676782,1933358.04725889,126.95883393656064,37.39809364455921
안양시,공작마을성일,부림동,1587-5,1993-02-15,15,7,750,Y,경기도 안양시 부림동 1587-5,952061.005644598,1933498.47596118,126.95837103446122,37.399357309330455
