,0,1,2
0,복정,",",수인분당선
1,대곡,",",경의선
2,가좌,",",경의선
3,문산,",",경의선
4,효창공원앞,",",경의선
5,청구,",",5
6,합정,",",6
7,인천,",",수인분당선
8,주안,",",인천2
9,인천시청,",",인천2
10,석남,",",7
11,기흥,",",용인경전철
12,모란,",",8
13,온수,",",1
14,삼각지,",",6
15,마곡나루,",",공항철도
16,계양,",",공항철도
17,신길온천,",",4
18,정왕,",",4
19,대림,",",2
20,소사,",",서해선
21,이촌,",",경의선
22,신내,",",6
23,용산,",",경의선
24,노량진,",",9
25,수서,",",수인분당선
26,검암,",",공항철도
27,인천공항1터미널,",",자기부상철도
28,오이도,",",4
29,원인재,",",인천1
30,가락시장,",",3
31,이매,",",수인분당선
32,부평,",",인천1
33,신길,",",5
34,까치산,",",2
35,옥수,",",경의선
36,약수,",",3
37,충무로,",",4
38,불광,",",6
39,연신내,",",6
40,초지,",",수인분당선
41,초지,",",4
42,여의도,",",9
43,금정,",",4
44,고잔,",",4
45,안산,",",4
46,충정로,",",5
47,신당,",",6
48,을지로4가,",",5
49,수원,",",1
50,동작,",",9
51,구로,",",1
52,고속터미널,",",9
53,고속터미널,",",7
54,선정릉,",",9
55,강남구청,",",7
56,군자,",",5
57,정자,",",신분당선
58,미금,",",신분당선
59,선릉,",",2
60,도곡,",",수인분당선
61,판교,",",경강선
62,부평구청,",",인천1
63,가산디지털단지,",",7
64,한대앞,",",4
65,중앙,",",4
66,금천구청,",",1
67,당산,",",9
68,영등포구청,",",2
69,서울역,",",4
70,서울역,",",경의선
71,서울역,",",공항철도
72,동대문,",",1
73,보문,",",우이신설선
74,성신여대입구,",",우이신설선
75,종합운동장,",",9
76,잠실,",",2
77,석촌,",",9
78,오금,",",3
79,올림픽공원,",",5
80,강동,",",5
81,천호,",",5
82,강남,",",신분당선
83,사당,",",2
84,이수,",",7
85,건대입구,",",7
86,성수,",",2
87,양재,",",3
88,교대,",",3
89,김포공항,",",공항철도
90,김포공항,",",9
91,김포공항,",",김포도시철도
92,태릉입구,",",6
93,도봉산,",",7
94,창동,",",4
95,석계,",",6
96,공덕,",",6
97,공덕,",",경의선
98,공덕,",",공항철도
99,시청,",",1
100,을지로3가,",",3
101,동묘앞,",",1
102,신도림,",",2
103,동대문역사문화공원,",",5
104,동대문역사문화공원,",",2
105,신설동,",",우이신설선
106,신설동,",",2
107,상봉,",",경춘선
108,상봉,",",경의선
109,회룡,",",의정부경전철
110,노원,",",7
111,광운대,",",경춘선
112,회기,",",경춘선
113,회기,",",1
114,중랑,",",경의선
115,망우,",",경의선
116,왕십리,",",경의선
117,왕십리,",",5
118,왕십리,",",수인분당선
119,디지털미디어시티,",",경의선
120,디지털미디어시티,",",6
121,홍대입구,",",공항철도
122,홍대입구,",",경의선
123,종로3가,",",5
124,종로3가,",",3
125,오이도,",",수인분당선
126,원인재,",",수인분당선
127,가락시장,",",8
128,이매,",",경강선
129,부평,",",1
130,복정,",",8
131,대곡,",",3
132,효창공원앞,",",6
133,청구,",",6
134,합정,",",2
135,인천,",",1
136,주안,",",1
137,인천시청,",",인천1
138,석남,",",인천2
139,기흥,",",수인분당선
140,모란,",",수인분당선
141,청량리,",",수인분당선
142,청량리,",",경의선
143,청량리,",",경춘선
144,신당,",",2
145,을지로4가,",",2
146,수원,",",수인분당선
147,동작,",",4
148,온수,",",7
149,삼각지,",",4
150,마곡나루,",",9
151,계양,",",인천1
152,신길온천,",",수인분당선
153,정왕,",",수인분당선
154,대림,",",7
155,소사,",",1
156,이촌,",",4
157,신내,",",경춘선
158,용산,",",1
159,노량진,",",1
160,수서,",",3
161,검암,",",인천2
162,인천공항1터미널,",",공항철도
163,한대앞,",",수인분당선
164,중앙,",",수인분당선
165,당산,",",2
166,영등포구청,",",5
167,신길,",",1
168,까치산,",",5
169,옥수,",",3
170,약수,",",6
171,충무로,",",3
172,불광,",",3
173,연신내,",",3
174,초지,",",서해선
175,여의도,",",5
176,금정,",",1
177,고잔,",",수인분당선
178,안산,",",수인분당선
179,충정로,",",2
180,총신대입구,",",4
181,건대입구,",",2
182,양재,",",신분당선
183,교대,",",2
184,고속터미널,",",3
185,선정릉,",",수인분당선
186,강남구청,",",수인분당선
187,군자,",",7
188,정자,",",수인분당선
189,미금,",",수인분당선
190,선릉,",",수인분당선
191,도곡,",",3
192,판교,",",신분당선
193,부평구청,",",7
194,가산디지털단지,",",1
195,시청,",",2
196,을지로3가,",",2
197,동묘앞,",",6
198,서울역,",",1
199,동대문,",",4
200,보문,",",6
201,성신여대입구,",",4
202,종합운동장,",",2
203,잠실,",",8
204,석촌,",",8
205,오금,",",5
206,올림픽공원,",",9
207,천호,",",8
208,강남,",",2
209,사당,",",4
210,회기,",",경의선
211,중랑,",",경춘선
212,망우,",",경춘선
213,김포공항,",",5
214,태릉입구,",",7
215,도봉산,",",1
216,창동,",",1
217,석계,",",1
218,공덕,",",5
219,종로3가,",",1
220,신도림,",",1
221,동대문역사문화공원,",",4
222,신설동,",",1
223,상봉,",",7
224,회룡,",",1
225,노원,",",4
226,광운대,",",1
227,청량리,",",1
228,왕십리,",",2
229,디지털미디어시티,",",공항철도
230,홍대입구,",",2
