지역,단지,세대수,주소,위도,경도
고양시 덕양구,삼송11단지,832,경기도 고양시 덕양구 원흥1로 25,37.6509919639056,126.86549133602189
고양시 덕양구,고양지축 A-1블록 신혼희망타운 행복주택,250,경기도 고양시 덕양구 오부자로 99,37.653330716274716,126.92103741284238
고양시 덕양구,고양지축 A-4BL 행복주택,473,경기도 고양시 덕양구 오부자로 43,37.65403825740302,126.91494556350136
고양시 덕양구,고양삼송 LH원흥마을13단지,947,경기도 고양시 덕양구 원흥1로 35,37.65263107072943,126.8688879977526
고양시 덕양구,서정마을LH12단지,276,경기도 고양시 덕양구 서정마을2로 17,37.62121525678347,126.8476478856895
고양시 덕양구,고양삼송 LH10단지,777,경기도 고양시 덕양구 원흥1로 31,37.65160109814829,126.86634579610431
고양시 덕양구,고양향동 A-4블록 행복주택,498,경기도 고양시 덕양구 향기5로 65,37.60764879062772,126.89537744307428
고양시 덕양구,고양지축 행복주택 A-3,890,경기도 고양시 덕양구 오부자로 150,37.647316256183686,126.92044322390241
구리시,구리수택 행복주택,394,경기도 구리시 체육관로74번길 67,37.59136082830985,127.14162519379505
김포시,김포한강1단지(행복Aa-12),443,경기도 김포시 허산길 50,37.63710579930954,126.66675971935432
김포시,김포마송 B-5블록 행복주택,500,경기도 김포시 통진읍 율마로438번길 51,37.68840196066348,126.60649852691942
김포시,김포양곡 E-1블록 행복주택,990,경기도 김포시 양촌읍 양곡2로80번길 61,37.65874621152147,126.6315478918963
김포시,김포마송 B-3블록 행복·영구임대주택,450,경기도 김포시 통진읍 율마로450번길 51,37.689339011561735,126.60651058210466
김포시,곡촌마을,362,경기도 김포시 양촌읍 양곡4로197번길 11,37.66062961522417,126.63022392968081
김포시,김포장기11단지(행복B-11),196,경기도 김포시 김포한강3로237번길 33,37.636993976328405,126.66386549486998
김포시,한가람마을,1500,경기도 김포시 김포한강4로 564,37.64669182466372,126.62040098508928
남양주시,남양주별내 A1-2 행복주택리츠,1220,경기도 남양주시 덕송3로 30,37.669932310990966,127.11359066344795
남양주시,LH퍼스트포레,128,경기도 남양주시 순화궁로 458-16,37.72839340628221,127.19378267534391
남양주시,남양주장현 행복주택 2단지,870,경기도 남양주시 진접읍 금강로 1530-33,37.66698024605811,127.1217241511931
남양주시,별가람마을 1-8단지,872,경기도 남양주시 순화궁로 458-58,37.66729855180756,127.12320946321908
남양주시,남양주금곡 행복주택,352,경기도 남양주시 경춘로 899,37.633147601959294,127.20126151740816
남양주시,다산해모로,24,경기도 남양주시 미금로19번길 9,37.60585856351459,127.1518508022544
동두천시,동두천송내 S1BL 행복주택,260,경기도 동두천시 이담로 10,37.88821049993498,127.04879462783246
부천시,부천중동1 행복주택,26,경기도 부천시 중동로 88,37.48758861657998,126.76527909867858
부천시,부천옥길 행복주택(A4BL),270,경기도 부천시 양지로 151,37.47088921212735,126.81957058305898
성남시 수정구,성남고등 A-1 행복주택리츠,1040,경기도 성남시 수정구 고등로 57,37.43052951094316,127.09957651857708
성남시 수정구,판교제2테크노밸리 A1블록 창업지원주택,200,경기도 성남시 수정구 창업로40번길 6,37.412633755806546,127.09599464426005
성남시 수정구,성남위례A2-15BL 지역전략산업 및 창업지원주택,470,경기도 성남시 수정구 위례순환로 53,37.471789895686754,127.135125173279
성남시 수정구,성남단대,16,경기도 성남시 수정구 산성대로405번길 9-9,37.44818319944516,127.15714254262825
성남시 수정구,단대동 행복주택,60,경기도 성남시 수정구 단대로23번길 36,37.44984275737326,127.1558633056124
수원시 권선구,수원호매실21(행복),400,경기도 수원시 권선구 호매실로 103,37.25382970858991,126.95953329909776
수원시 영통구,광교 원천,300,경기도 수원시 영통구 광교중앙로49번길 40,37.280532895127486,127.05010509444239
수원시 영통구,수원 광교,204,경기도 수원시 영통구 창룡대로 250,37.294859810400936,127.03672175626015
수원시 영통구,수원 영통,100,경기도 수원시 영통구 동탄지성로470번길 34,37.23388006158263,127.04786546274802
수원시 팔달구,수원고등(행복),500,경기도 수원시 팔달구 고등로 8,37.272569280760656,126.99830877175026
