시군명,공동주택구분,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부
가평군,,가평블루핀,가평읍 읍내리,766-3,2019-09-27,19,2,119,N
가평군,,가평우림필유,가평읍 대곡리,360,2006-12-26,15,2,190,Y
가평군,,가평읍내주공아파트,가평읍 읍내리,270,1999-11-19,12,5,355,N
가평군,,가평읍내휴먼시아2단지,가평읍 읍내리,234,2010-08-30,13,6,335,N
가평군,,가평코아루,가평읍 읍내리,1053,2021-11-09,20,3,221,Y
가평군,,가평파란채,가평읍 읍내리,771-1,2007-11-01,15,3,243,Y
가평군,,개나리연립,가평읍 읍내리,266-5,1990-12-15,4,1,24,N
가평군,,동일국민주택,청평면 청평리,306-3 외1,1987-08-13,3,3,42,N
가평군,,로얄아파트,청평면 청평리,626-8 외2,2007-05-01,11,2,54,N
가평군,,르메이에르 청평빌라,설악면 회곡리,428-1 외1,2006-11-09,4,4,48,N
가평군,,보납빌라,가평읍 읍내리,641 외1,1989-12-08,3,1,21,N
가평군,,보인빌라,가평읍 읍내리,329-9 외1,1986-10-18,3,1,36,N
가평군,,북한강코아루,설악면 선촌리,663,2014-04-02,19,4,237,Y
가평군,,선힐하이뷰아파트,가평읍 대곡리,402-1,2008-05-28,15,3,180,Y
가평군,,세대넥스빌아파트,가평읍 달전리,281,1996-02-29,18,1,138,N
가평군,,송안아파트,가평읍 읍내리,837-1,2009-10-08,10,1,54,N
가평군,,신초아파트,가평읍 달전리,285-1 외1,1993-09-21,11,2,89,N
가평군,,아산빌리지,청평면 청평리,319-7 외8,1999-03-22,4,5,164,N
가평군,,에덴아파트,가평읍 읍내리,292-7,1991-08-21,5,1,40,N
가평군,,에덴아파트,청평면 상천리,24,1991-10-25,5,2,70,N
가평군,,유성아파트,가평읍 달전리,339,1993-12-29,6,2,84,N
가평군,,임성아파트,조종면 현리,232-2,1994-12-07,10,1,47,N
가평군,,조종국민주택,조종면 현리,306-4,1987-11-02,3,1,21,N
가평군,,준수아파트,가평읍 읍내리,637 외1,1992-11-12,6,2,126,N
가평군,,준일아파트,가평읍 읍내리,423-6 외1,1983-05-12,3,3,36,N
가평군,,중앙아파트,가평읍 읍내리,537-1,1990-09-11,5,2,50,N
가평군,,청수아파트,청평면 청평리,634-2 외2,1992-10-31,5,5,111,N
가평군,,청아빌라 2차(연립),설악면 선촌리,44586,2008-08-07,4,7,160,N
가평군,,청아빌라(연립),설악면 송산리,697 외3,2004-09-06,4,4,76,N
가평군,,청평경남아너스빌,청평면 청평리,306,2008-02-28,15,5,217,Y
가평군,,청평국민주택,청평면 청평리,198,1985-09-05,3,2,24,N
가평군,,청평라폴리움,설악면 선촌리,292-2,2009-12-22,4,4,32,N
가평군,,청평삼성쉐르빌,청평면 청평리,837,2012-06-14,15,7,408,Y
