아파트명,도로명 주소,연면적,세대수,위도,경도,관리사무소 전화번호,관리사무소 팩스번호,관리기관명,관리기관전화번호,데이터기준일자
건영,경기도 동두천시 강변로296번길 ,42001,397,37.915482,127.065327,031-866-9246,031-866-0081,경기도 동두천시청 건축과,031-860-2446,2022-06-24
기상,경기도 동두천시 못골로 60,24446,253,37.903063,127.069418,031-867-8441,031-859-8441,경기도 동두천시청 건축과,031-860-2446,2022-06-24
대방노블랜드,경기도 동두천시 거북마루로 45,57608,330,37.896166,127.050767,031-857-9311,031-859-9312,경기도 동두천시청 건축과,031-860-2446,2022-06-24
대방노블랜드1차,경기도 동두천시 삼육사로1002번길25,20071,226,37.897855,127.061401,031-862-3884,031-862-3882,경기도 동두천시청 건축과,031-860-2446,2022-06-24
생연주공(3단지),경기도 동두천시 행선로 112,42776,525,37.898169,127.063511,031-857-3773,031-857-3774,경기도 동두천시청 건축과,031-860-2446,2022-06-24
부영1단지(6차),경기도 동두천시 생연로 72,111714,938,37.898924,127.049788,031-857-7801,031-857-7802,경기도 동두천시청 건축과,031-860-2446,2022-06-24
부영3단지(1차),경기도 동두천시 생연로 28,49614,380,37.895289,127.049244,031-857-4600,031-857-4601,경기도 동두천시청 건축과,031-860-2446,2022-06-24
부영5단지(5차),경기도 동두천시 동두천로 185,66940,668,37.898121,127.055222,031-857-9891,031-857-9892,경기도 동두천시청 건축과,031-860-2446,2022-06-24
부영6단지(2차),경기도 동두천시 동두천로 171,39346,419,37.896712,127.054842,031-857-4900,031-857-4902,경기도 동두천시청 건축과,031-860-2446,2022-06-24
부영9단지(3차),경기도 동두천시 동두천로 137. 139,33691,298,37.893875,127.055015,031-857-4750,031-857-4751,경기도 동두천시청 건축과,031-860-2446,2022-06-24
상우,경기도 동두천시 삼육사로 1057,25708,252,37.900008,127.067058,031-864-0977,031-868-3434,경기도 동두천시청 건축과,031-860-2446,2022-06-24
상패주공,경기도 동두천시 어수로 29-16,33551,498,37.904915,127.047494,031-861-2376,031-861-2375,경기도 동두천시청 건축과,031-860-2446,2022-06-24
