관리구분,분양임대,행정구역,지번주소,도로명주소,Latitude,Longitude,단지명,주택종류,사용검사일,층수,동수,세대수,관리사무소전화번호,비고,우편번호,데이터기준일자
CategoryFilter,CategoryFilter,CSVFilter,StringFilter,MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter,StringFilter,CategoryFilter,StringFilter,StringFilter,CSVFilter,StringFilter,StringFilter,CSVFilter,StringFilter,
의무,분양,문산읍,문산읍 문산리 31-1,경기도 파주시 문산읍 문산로26번길 35,37.8556441,126.7829155,문산주공,아파트,1980-01-23,5,7,300,031-952-3563,,10823,2022-11-09
임의,분양,문산읍,문산읍 선유리 426-10,경기도 파주시 문산읍 독서울5길 5,37.8665618,126.8062946,동산연립,연립,1983-12-30,3,2,28,,,10811,2022-11-09
임의,분양,광탄면,"광탄면 신산리 180-2,3",경기도 파주시 광탄면 왕수물길 50,37.7787982,126.8476914,광탄연립,연립,1984-07-14,3,2,42,,,10948,2022-11-09
임의,분양,금촌1동,금촌동 773-6,"경기도 파주시 금정6길 11(금촌동, 동산연립)",37.7579082,126.7766746,동산연립,연립,1984-09-11,3,2,21,,,10923,2022-11-09
임의,분양,금촌1동,금촌동 775-2,"경기도 파주시 금정4길 21-6(금촌동, 동산연립)",37.7574685,126.7772833,동산연립,연립,1984-09-11,3,3,32,,,10923,2022-11-09
임의,분양,금촌1동,금촌동 787-5,"경기도 파주시 금정로 9 (금촌동, 장안연립)",37.7560781,126.7760567,장안연립,연립,1984-11-19,3,1,27,,,10924,2022-11-09
임의,분양,금촌1동,금촌동 774-4,"경기도 파주시 금정4길 19-5(금촌동, 대진연립)",37.7572298,126.7767731,대진연립,연립,1984-12-26,3,3,36,,,10923,2022-11-09
임의,분양,금촌1동,아동동 354-6,"경기도 파주시 새꽃로 242-3(아동동, 우촌연립)",37.7666709,126.778992,우촌연립,연립,1985-01-09,3,1,30,,,10931,2022-11-09
임의,분양,조리읍,조리읍 봉일천리 139-17,경기도 파주시 조리읍 순비골길 10,37.7419695,126.8107333,"태양연립(가,나동)",연립,1985-01-15,3,2,48,,,10937,2022-11-09
임의,분양,운정1동,상지석동 977-7,"경기도 파주시 운정로 2(상지석동, 경안주택)",37.7261603,126.7683252,경안주택,연립,1985-02-18,3,6,96,,,10910,2022-11-09
임의,분양,금촌1동,금촌동 71-9,경기도 파주시 금정18길 20,37.7607331,126.7750562,장안아파트,아파트,1985-06-21,3,1,36,,,10929,2022-11-09
임의,분양,금촌1동,금촌동 788-9,"경기도 파주시 황골로 55-3(금촌동, 금화연립)",37.7557279,126.774863,금화연립,연립,1985-07-19,3,3,63,,,10924,2022-11-09
임의,분양,조리읍,조리읍 봉일천리 183-2,경기도 파주시 조리읍내산길 62-22,37.746563,126.8071922,세인연립,연립,1985-07-22,3,3,72,,,10938,2022-11-09
임의,분양,금촌1동,금촌동 950-1,"경기도 파주시 금정로 19(금촌동, 삼환연립)",37.7570042,126.7761277,삼한연립,연립,1985-09-26,3,2,24,,,10924,2022-11-09
임의,분양,금촌1동,금릉동 197-1외2,"경기도 파주시 독암길 55(금능동, 금능맨션)",37.75649,126.7826739,금능연립,연립,1985-10-19,3,4,78,,,10932,2022-11-09
임의,분양,조리읍,"조리읍 봉일천리 189-14,15",경기도 파주시 조리읍 송비말길 106,37.7447386,126.8060449,금성연립,연립,1986-01-14,5,2,33,,,10937,2022-11-09
임의,분양,금촌1동,"아동동 25,26","경기도 파주시 베리고개길 34 (아동동, 부일주택)",37.757361,126.7952756,부일연립,연립,1986-04-30,3,2,54,,,10944,2022-11-09
임의,분양,금촌1동,금촌동 334-201,"경기도 파주시 새꽃로 156-2(금촌동, 미건연립주택)",37.7631201,126.7703228,미건연립,연립,1986-05-10,3,2,27,,,10928,2022-11-09
임의,분양,조리읍,조리읍 봉일천리 69-17외1,경기도 파주시 조리읍 삼태기말길 22,37.7395782,126.8213083,공릉연립,연립,1986-07-09,3,3,54,,,10939,2022-11-09
임의,분양,문산읍,문산읍 당동리 산38-1,경기도 파주시 문산읍 봉미로 34,37.8631187,126.7851961,초원연립,연립,1986-07-24,3,3,36,,,10814,2022-11-09
임의,분양,금촌1동,금릉동 198-8,"경기도 파주시 독암길 35(금능동, 대창빌라)",37.75649,126.7826739,대창연립,연립,1986-08-08,3,1,21,,,10932,2022-11-09
