아파트명,소재지도로명주소,소재지지번주소,위도,경도,층수,관리사무소전화번호,팩스번호,세대수,사업승인일,사용검사일,데이터기준일자
파장삼익,"경기도 수원시 장안구 경수대로 1102(파장동, 삼익아파트)",경기도 수원시 장안구 파장동 528-8,37.310846,126.992754,11,031-255-8552,031-268-8553,220,1972-03-02,1978-10-30,2022-07-05
문화맨션,"경기도 수원시 팔달구 정조로 659(매교동, 문화맨션)",경기도 수원시 팔달구 매교동 158-6,37.267678,127.016096,12,031-232-3783,031-232-3783,176,1978-05-23,1979-05-30,2022-07-05
신반포,"경기도 수원시 팔달구 장다리로306번길 13(인계동, 신반포아파트)",경기도 수원시 팔달구 인계동 319-6,37.273944,127.031222,12,031-232-7138,031-236-2138,1185,1980-08-27,1983-12-22,2022-07-05
우만현대,"경기도 수원시 팔달구 권광로364번길 7-2(우만동, 현대아파트)",경기도 수원시 팔달구 우만동 129-9,37.280342,127.038016,5,031-211-6383,031-212-5220,404,1984-06-18,1985-06-28,2022-07-05
매탄주공5단지,"경기도 수원시 영통구 인계로 165(매탄동, 주공5단지아파트)",경기도 수원시 영통구 매탄동 908,37.267092,127.038049,3~12,031-215-1901,031-215-4263,1240,1984-11-08,1985-12-10,2022-07-05
매탄주공4단지,"경기도 수원시 영통구 인계로189번길 14(매탄동, 주공4단지아파트)",경기도 수원시 영통구 매탄동 928,37.266237,127.038721,5,031-215-6481,031-217-1737,1200,1984-11-08,1986-10-21,2022-07-05
동신1차,"경기도 수원시 장안구 장안로 232(정자동, 동신아파트) ",경기도 수원시 장안구 정자동 839-27,37.304375,126.993474,15,031-244-2447,031-244-2417,1548,1986-04-04,1987-05-30,2022-07-05
원천주공,"경기도 수원시 영통구 중부대로271번길 27-9(원천동, 주공아파트)",경기도 수원시 영통구 원천동 64-9,37.276306,127.046815,15,031-211-6535,031-211-6292,1320,1987-07-14,1987-08-14,2022-07-05
동남,"경기도 수원시 권선구 여기산로 54(서둔동, 동남아파트)",경기도 수원시 권선구 서둔동 361,37.283028,126.980287,5,031-291-5671,031-891-5671,380,1987-12-03,1987-12-03,2022-07-05
성일,"경기도 수원시 권선구 여기산로 42(서둔동, 성일아파트)",경기도 수원시 권선구 서둔동 361-1,37.280633,126.978832,5,031-292-5670,031-305-5670,370,1987-03-27,1987-12-03,2022-07-05
동신2차,"경기도 수원시 장안구 장안로 211(정자동, 동신아파트)",경기도 수원시 장안구 정자동 395-3,37.301487,126.994141,12~15,031-252-1406,031-302-3867,1992,1986-04-04,1988-05-10,2022-07-05
우만주공1단지,"경기도 수원시 팔달구 중부대로223번길 102(우만동, 주공1단지아파트)",경기도 수원시 팔달구 우만동 33,37.282258,127.038882,5,031-212-7120,031-211-6120,500,1987-05-30,1988-05-30,2022-07-05
우만풍림,"경기도 수원시 팔달구 세지로 439-13(우만동, 풍림아파트)",경기도 수원시 팔달구 우만동 497,37.287327,127.031948,5,031-255-0930,031-257-2997,390,1986-12-20,1988-06-02,2022-07-05
미영,"경기도 수원시 권선구 정조로 432(세류동, 미영아파트)",경기도 수원시 권선구 세류동 1147,37.247469,127.014534,4,031-238-3443,031-234-7939,600,1986-06-05,1988-06-20,2022-07-05
삼성1차,"경기도 수원시 영통구 인계로 219(매탄동, 삼성1차아파트)",경기도 수원시 영통구 매탄동 810-3,37.265589,127.041359,15,031-212-2650,031-216-2305,930,1988-10-07,1988-10-27,2022-07-05
매탄동남,"경기도 수원시 영통구 동수원로 432(매탄동, 동남아파트)",경기도 수원시 영통구 매탄동 810-2,37.267312,127.042575,15,031-213-2288,031-213-5618,892,1988-05-01,1989-07-05,2022-07-05
매탄현대,"경기도 수원시 영통구 동수원로 448(매탄동, 현대아파트)",경기도 수원시 영통구 매탄동 810-1,37.268821,127.042779,15,031-212-1114,031-211-4472,690,1988-03-14,1989-07-06,2022-07-05
조원벽산,"경기도 수원시 장안구 조원로 16(조원동, 벽산아파트)",경기도 수원시 장안구 조원동 510-1,37.29694,127.021374,10,031-247-7196,031-247-7197,740,1989-07-18,1989-07-18,2022-07-05
우만주공2단지,"경기도 수원시 팔달구 중부대로223번길 54-13(우만동, 우만주공2단지아파트)",경기도 수원시 팔달구 우만동 32-1,37.277479,127.041754,15,031-212-3380,031-211-5130,984,1987-10-01,1989-07-23,2022-07-05
삼성2차,"경기도 수원시 영통구 매영로 10(매탄동, 삼성2차아파트)",경기도 수원시 영통구 매탄동 810,37.27012,127.043433,13,031-211-4265,031-215-2885,624,1988-04-28,1989-07-27,2022-07-05
매탄성일,"경기도 수원시 영통구 인계로 239(매탄동, 매탄성일아파트)",경기도 수원시 영통구 매탄동 810-4,37.265065,127.043341,15,031-213-8883,031-213-1223,990,1988-04-01,1989-08-25,2022-07-05
