지역,위도,경도,쏘카존 수,녹지,주거,공업,상업,인구,대학교 수,아파트 수,지하철역 수,정류장 수,환승역 수,행복주택 수, 대학생 수,2030인구
수원시 장안구,37.30397090000028,127.00174327903562,18,0.2727272727272727,0.7272727272727273,0.0,0.0,271012,4,200,1,409,0,0,34441,82294.5598
수원시 권선구,37.25768699999995,126.96353177903784,16,0.625,0.3125,0.0625,0.0,367004,1,159,4,537,0,1,11033,111443.1561
수원시 팔달구,37.28256950000001,127.01171837904,20,0.13636363636363635,0.4090909090909091,0.0,0.45454545454545453,192225,0,65,4,185,2,1,0,58370.37385
수원시 영통구,37.259599900001895,127.04234075393327,34,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,360127,21,129,6,380,0,3,22911,109354.9102
용인시 처인구,37.23434599999878,127.192964779039,29,0.8235294117647058,0.058823529411764705,0.0,0.11764705882352941,259872,15,112,9,1234,0,1,13084,67270.6954
용인시 기흥구,37.2804499000003,127.106282679038,37,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.0,438500,16,251,11,1524,2,0,8071,113510.4972
용인시 수지구,37.3222421999992,127.08940067903866,37,0.42857142857142855,0.5714285714285714,0.0,0.0,377198,9,214,5,53,0,0,12816,97641.80737
성남시 수정구,37.45039559999981,127.13725427904112,18,0.631578947368421,0.3684210526315789,0.0,0.0,232125,11,91,9,436,2,5,20021,66251.67434
성남시 중원구,37.43052329999992,127.12883047903613,13,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.1111111111111111,206211,1,79,1,251,0,0,6778,58855.46157
성남시 분당구,37.38281949999914,127.11054617903623,58,0.5,0.5,0.0,0.0,482026,1,231,12,694,3,0,0,137576.8641
부천시,37.503591699999895,126.75762077903995,57,0.23076923076923078,0.6153846153846154,0.15384615384615385,0.0,791263,14,520,18,1110,2,2,10447,224595.0
화성시,37.19956500000045,126.82302577903695,56,0.5675675675675675,0.35135135135135137,0.05405405405405406,0.02702702702702703,907958,27,388,3,2873,2,17,14423,260316.0
안산시 상록구,37.30108130000041,126.83827217903396,21,0.6666666666666666,0.3333333333333333,0.0,0.0,345535,4,65,4,539,2,0,10207,102388.5024
안산시 단원구,37.32101699999964,126.80688497904232,25,0.42857142857142855,0.35714285714285715,0.21428571428571427,0.0,297509,2,160,15,760,3,0,4628,88157.49764
안양시 만안구,37.38664900000111,126.92394577903464,19,0.6666666666666666,0.3333333333333333,0.0,0.0,234296,15,138,4,362,0,1,11484,65028.48528
안양시 동안구,37.39257390000054,126.94297467903772,19,0.25,0.75,0.0,0.0,314102,1,174,3,381,0,0,6777,87178.51472
평택시,36.989605799999936,127.1051017790378,53,0.5945945945945946,0.2702702702702703,0.08108108108108109,0.05405405405405406,577335,9,367,5,1839,0,5,9989,316322.0
시흥시,37.380176999999485,126.79455477903672,35,0.7741935483870968,0.1935483870967742,0.03225806451612903,0.0,512438,5,313,11,1092,2,3,6168,146801.0
김포시,37.61534999999992,126.70716477903692,55,0.4,0.5333333333333333,0.06666666666666667,0.0,484194,3,229,9,1325,0,7,232,127499.0
광주시,37.4267878151939,127.25816050743552,16,0.9230769230769231,0.07692307692307693,0.0,0.0,391704,11,129,4,1238,0,0,555,100680.0
광명시,37.47861759999975,126.8562711790359,28,0.2222222222222222,0.6666666666666666,0.0,0.1111111111111111,288182,0,89,3,445,0,0,0,76757.0
군포시,37.36152300000101,126.92695877903768,10,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.0,266531,7,155,7,438,2,0,2555,73938.0
하남시,37.53930139978594,127.20649497931808,29,0.4583333333333333,0.5416666666666666,0.0,0.0,325310,0,131,4,581,0,6,0,91765.0
오산시,37.14988699999913,127.0690826790372,15,0.3333333333333333,0.5,0.08333333333333333,0.08333333333333333,229833,5,93,4,414,0,4,15628,68589.0
이천시,37.27234199999979,127.4266546790396,14,0.88,0.08,0.0,0.04,223151,4,155,3,1179,0,1,2175,62261.0
안성시,37.00805459999921,127.27139387904104,13,0.5555555555555556,0.28888888888888886,0.044444444444444446,0.1111111111111111,189146,12,96,0,1218,0,1,5255,45902.0
의왕시,37.34488690000084,126.96409435393784,5,0.6363636363636364,0.36363636363636365,0.0,0.0,160464,1,102,1,380,0,2,9393,45582.0
양평군,37.49179099999989,127.47921767903722,5,1.0,0.0,0.0,0.0,122463,7,39,9,1051,0,1,838,21290.0
여주시,37.29834189999944,127.62870277903738,7,0.875,0.125,0.0,0.0,113096,1,70,2,1124,0,0,6084,23085.0
과천시,37.4292012999992,126.97929577903906,3,0.5,0.5,0.0,0.0,77775,1,15,5,111,0,0,0,20397.0
고양시 덕양구,37.63743050000004,126.82374537903809,48,0.65625,0.34375,0.0,0.0,487874,6,274,9,1205,2,8,4210,131281.059
고양시 일산동구,37.65862180000045,126.7710064539382,51,0.46153846153846156,0.46153846153846156,0.0,0.07692307692307693,296590,1,133,6,454,0,0,13923,79808.82212
고양시 일산서구,37.67799146170975,126.74110481457048,29,0.5,0.375,0.0,0.125,290738,0,140,4,635,0,0,0,78234.1189
남양주시,37.635985000004034,127.21228275393878,57,0.5263157894736842,0.47368421052631576,0.0,0.0,737366,2,385,13,1803,0,6,8100,176762.0
파주시,37.76018600000026,126.77150377903833,36,0.8,0.14285714285714285,0.02857142857142857,0.02857142857142857,494970,2,221,10,2040,0,8,5221,127905.0
의정부시,37.738082999999605,127.02537367903524,37,0.46153846153846156,0.46153846153846156,0.0,0.07692307692307693,463789,6,299,21,716,0,5,5309,124355.0
양주시,37.78532890000048,127.03746767903924,12,0.7272727272727273,0.22727272727272727,0.045454545454545456,0.0,241346,4,124,3,1561,0,4,2673,55818.0
구리시,37.594265899999066,127.12125267903824,19,0.5,0.5,0.0,0.0,188876,0,111,2,313,0,1,0,51033.0
포천시,37.89486699999945,127.19186117903664,9,0.8888888888888888,0.1111111111111111,0.0,0.0,147019,15,76,0,1126,0,1,10454,32828.0
동두천시,37.90366429999981,127.05225917903596,4,0.75,0.08333333333333333,0.08333333333333333,0.08333333333333333,91735,3,41,5,361,0,1,4922,21008.0
가평군,37.83150789999981,127.5011616790384,7,1.0,0.0,0.0,0.0,62197,1,39,4,928,0,0,61,11629.0
연천군,38.09673800000029,127.06637577903746,3,1.0,0.0,0.0,0.0,42153,0,35,0,644,0,0,0,9213.0
